uniqueDirectors
Joel Gallen
Aaron Katz
John Hillcoat
Kirsten Sheridan
Gary Goldman
Herbert Ross
Jerry Zaks
Rick Rosenthal
Mick Jackson
Howard Storm
John Boulting
Rezo Gigineishvili
Josh Trank
Chris Nahon
Arne Mattsson
Rob Thomas
Christopher Nolan
David R. Ellis
Hal Ashby
Kenneth Branagh
Daniel Calparsoro
"""Anthony O'Brien"""
Jean Delannoy
George Roy Hill
Feng Xiaogang
John R. Cherry III
Zana Briski
Bong Joon-ho
Alberto Lattuada
Abhinay Deo
Erick Zonca
Genndy Tartakovsky
Siddharth Anand
Sara Newens
Tom Shadyac
John Sullivan
Alan Taylor
Joe Ahearne
Charles Shyer
Peter Godfrey
Kogonada
Jeff Kanew
Todd Graff
JosÃ© Padilha
Marianna Palka
David Barker
Bryan Singer
Aleksandr Kott
Charles Brabin
Rick de Oliveira
Robert C. Cooper
Yue Song
Victor Salva
Nick Murphy 
Vasanth
David Slade
Blair Hayes
Wally Pfister
Vivek Agnihotri
Stephen Herek
David Miller
Sally Field
Christos Dimas\t \t   
Craig Clyde
Dennie Gordon
Jules Bass
Jorge R. Gutierrez
Ela Thier
Tom DiCillo
Wes Craven
Frank Capra
Paul Lynch
Marlon Brando
Maximilian Erlenwein
Daisy von Scherler Mayer
Miguel Sapochnik
Michael Herz
Nick Hamm
Bruce Robinson
Goo Mo
Laurence Dunmore
Clive Donner
Rajkumar Hirani
Albert Brooks
Dwight H. Little
Erik Van Looy
Vincent PÃ©rez
Steven Bernstein
Chris Columbus
Alejandro GonzÃ¡lez IÃ±Ã¡rritu
Adam Marcus
David Mamet
Howard McCain
Derek Cianfrance
David Hackl
Allison Anders
John Wells
Bille Woodruff
Jackie Chan
Kelly Makin
Chris Paine
Gary Fleder
Thomas Gilou
Scott Alexander
Dick Richards
Curtis Harrington
Thea Sharrock
Chris Williams
Joe Cornish
John Pasquin
Rebecca Miller
Tom Gormican
James Wong
David Barrett
MartÃ_n Hodara
Francis Delia
MarÃ_a LidÃ_n
Kim Farrant
Eric Bress
Goldie Behl
Buster Keaton
Carl Franklin
Alan Myerson
Joe Cross
Jonathan BarrÃ©
Kinka Usher
Paul Mazursky
Justin Thomas Ostensen
Sidney Lumet
Rakesh Roshan
Roman Prygunov
Ali Abbas Zafar
Jonathan Teplitzky
David Mackenzie
Melville Shavelson
Sidney J. Furie
Michael Lehmann
Kenneth Lonergan
Brian Gibson
Henry Alex Rubin
IstvÃ¡n SzabÃ_
Tomas Alfredson
Kate Barker-Froyland
Mikael Salomon
Tom Hanks
Jordan Peele
John R. Leonetti
William Dear
Phil Claydon
Katja von Garnier
Rodney Gibbons
Andy Tennant
Peter Markle
Paul King
Mary Agnes Donoghue
Troy Byer
Cyrus Nowrasteh
Olivier Assayas
Ash Brannon
Mohit Suri
Floyd Mutrux
Rod Lurie
Liz Friedlander
J Blakeson
Matt Ross
Chris Sivertson
Charles A. Nichols
Alain BerbÃ©rian
FriÃ°rik Ã_Ã_r FriÃ°riksson
Andrei Kavun
Juzo Itami
Eric Mendelsohn
Peter Stebbings
Lee Kirk
Dean Israelite
Amir Bar-Lev
Howard Hawks
Robert Townsend
Andrea Di Stefano
Dave Willis
John Guillermin
Marcus Raboy
Debra Granik
Bruce Campbell
Noah Buschel
Tod Williams
Francis Veber
Jessie Nelson
Vikram Bhatt
Eric Steven Stahl
David Gordon Green
Robert Resnikoff
Jonathan Nossiter
Will Koopman
Takeshi Kitano
Isabel Coixet
Richard J. Lewis
Zack Snyder
Carlos Saura
Jerrold Freedman
Luke Greenfield
Bill Forsyth
Alejandro Agresti
Howard Goldberg
Wesley Strick
David Gleeson
Norman Mailer
Eric Red
Hal Sutherland
Shuki Levy
Lars von Trier
Michael D. Olmos
Bruce Lee
Ry Russo-Young
Luca Miniero
Herbert Brenon
Busby Berkeley
Alan Parker
David Moreau
Natalie Portman
Aleksey Uchitel
Jack Sholder
George Lucas
Dave Green
Katie Aselton
Geremy Jasper
GrÃ©gory Levasseur
Jean-Daniel Pollet
Paiman Kalayeh
Irving Rapper
Fred Wolf
Valery Todorovsky
Brian Helgeland
Aleksandr Dovzhenko
Randall Wallace
Vincent Ward
Michael Polish
Patrick Osborne
Takashi Shimizu
Herb Freed
Norman Z. McLeod
Liang Xuan
Luc Dardenne
Aaron Norris
Bruce Malmuth
Roberts Gannaway
Frank Perry
Joachim Trier
Curt Hahn
Kirk Jones
Jeff Chan
Ben Stassen
Alex Kurtzman
John Cameron Mitchell
Katherine Dieckmann
Eckhart Schmidt
Darren Lynn Bousman
Jennifer Kent
Lewis Allen
Russell Holt
Tuck Tucker
Rupert Wainwright
Diane English
James B. Clark
John Derek
Jun Lana
Ian Iqbal Rashid
Alex Proyas
Rupert Sanders
Bryan Forbes
Ali Khamrayev
Jeff Wadlow
LÃ¡szlÃ_ Nemes
Abrid Shine
Doug Sweetland
Vyacheslav Kaminsky
Lamont Johnson
Emmanuelle Bercot
Emile Ardolino
Spencer Susser
John Luessenhop
Alan Johnson
Sekhar Kammula
Roar Uthaug
Jan Gissberg
Mark Herman
Christopher Crowe
Dany Boon
Mike Tollin
John Hamburg
John Ottman
Callie Khouri
Rodrigo CortÃ©s
Michael Mayer
Hironobu Sakaguchi
LluÃ_s QuÃ_lez
Jean-Marc VallÃ©e
Jeffrey Lau
Gary Shore
Ariel Vromen
Yang Ik-june
Kim Tae-yong
James Lapine
Jon M. Chu
Quentin Dupieux
Ryan Fleck
Omung Kumar
Tian Xiao Peng
Michael Powell
William Sachs
Dylan Bank
Jonathan Liebesman
Luis Mandoki
Zak Levitt
Steven Shainberg
Jean-Paul Rappeneau
James Nunn
Sarah Gavron
Lucia Aniello
Joe Dante
Dwain Esper
Ruba Nadda
Sean Ellis
Stuart Gordon
Steve Gordon
Joona Tena
William Phillips
Farren Blackburn
Peter Webber
Jay Lowi
David Yates
Nicolette Krebitz
Andrey Kravchuk
KornÃ©l MundruczÃ_
Barney Elliott
Ruben Fleischer
Michael Spierig
CÃ©dric Klapisch
Conor McPherson
Sam Liu
Florian Gallenberger
Anthony Silverston
Dan Trachtenberg
PaweÅ‚ Pawlikowski
Paul Verhoeven
Caryn Waechter
McG
Tom Hooper
Stephen Anderson
Scandar Copti
Dave Meyers
James Kerwin
Andrea Arnold
Doug Lefler
Ali Zafar
John Carpenter
John Singleton
Elie Chouraqui
Nathan Frankowski
Carl Schenkel
Steve Boyum
Rob Minkoff
Christian Robinson
Fabrice Gobert
Maurice Joyce
Luis Valdez
Dennis Lee
Jason Bateman
Drew Goddard
Henry Koster
Uli Edel
Don McKellar
Robert D. Webb
Glen Goei
Deepa Mehta
Tharun Bhascker Dhaassyam
JosÃ© RamÃ_n Novoa
Eric Werthman
Michael Bay
Thomas Bezucha
Jeff Tremaine
Steven Spielberg
Paul Feig
John Huston
AndrÃ© Calmettes
Graham Baker
Adrienne Shelly
Steven Soderbergh
Bob Fosse
Darren Aronofsky
John Henderson
Ramaa Mosley
Benh Zeitlin
David Price
Ayan Mukherjee
Gregory Plotkin
Scott Walker
Zoltan Korda
Paul McGuigan
George Armitage
Todd Stephens
Lance Daly
Lucile Hadzihalilovic
Jonathan Caouette
Andrew Traucki
Xavier Dolan
G.W. Pabst
Bob Saget
Paolo Barzman
Timo Tjahjanto
Stephen Hillenburg
James Cameron
Ashutosh Gowariker
Gaspar NoÃ©
Anatole Litvak
Wade Gasque
Roy William Neill
Hugh Wilson
David Zucker
Michael Berry
Sara Sugarman
Fred Olen Ray
Audrey Wells
HÃ©lÃ¨ne Giraud
Benny Boom
Andrew Steggall
Patrick Levis
Marshall Brickman
Oleg Pogodin
Matt Johnson
Diane Keaton
Karen Shakhnazarov
Paul Brickman
Chris Koch
 Yeon Sang-Ho
Suri Krishnamma
Maggie Greenwald
S. J. Surya
Caytha Jentis
Duncan Tucker
Simon Wincer
Lance Mungia
Jules Dassin
Barbet Schroeder
Andrew Fleming
Miguel Courtois
Andrew Jarecki
Chris Sanders
Robert Patton-Spruill
Karan Johar
Khalid Mohammed
Allen Hughes
Sudha Kongara Prasad
Michael Meredith
Paul Greengrass
Julie Delpy
Juliet Lamont
John Carl Buechler
Eric Styles
Leslie Arliss
Jonathan Silverman
Peter Ramsey
Joshua Tickell
Maya Forbes
Burny Mattinson
FranÃ§ois Girard
Andrzej Wajda
John Gulager
Jon Wright
David Weaver
James Cox
John Swanbeck
Barry Skolnick
Sydney Pollack
Fred Walton
Ken Kwapis
Coodie Simmons
Tim Blake Nelson
Gilbert Cates
Renat Davletyarov
James Orr
Glenn Ficarra
Bill Duke
Malcolm Mowbray
Rachel Perkins
Bertrand Normand
Travis Cluff
Bob Gosse
Margarethe von Trotta
Mark Christopher
Jeff Woolnough
Yukihiko Tsutsumi
Michael McCullers
Lori Petty
Hwang In-Ho
Chris Marker
John Terlesky
Cecil B. DeMille
Michael Rymer
Joshua Seftel
Neil LaBute
Keith Gordon
John Duigan
Laurice Guillen
William Dieterle
Mars Callahan
Jean Rollin
Alexander Mackendrick
Risa Bramon Garcia
Richard Franklin
Joseph Kahn
Adriaan Ditvoorst
Tom McCarthy
Jaco Van Dormael
Park Young-hoon
Rob Letterman
Matthew Cole Weiss
Steve Trenbirth
Bhaskar
Harish Saluja
Guy Hamilton
Daniel Mann
Jon Kasdan
AndrÃ© Ã˜vredal
Ã“scar Aibar
Adam Simon
Benedikt Erlingsson
Steven E. de Souza
Abderrahmane Sissako
Petter NÃ_ss
Elliott Lester
Stanley Kwan
S.R. Bindler
"""Sam O'Steen"""
Giorgio Ferroni
Youssef Delara
Edmund Goulding
Takao Okawara
"""Steve 'Spaz' Williams"""
Patricia Birch
Marcos Siega
Michael Winterbottom
Tom Holland
Paul W.S. Anderson
Roger Michell
Tarsem Singh
Dominique Othenin-Girard
Christopher Smith
Christopher B. Landon
Caroline Link
Juan JosÃ© Campanella
Pablo LarraÃ_n
Gregory Doran
Jennifer Yuh Nelson
Jonathan Miller
Simon Wells
Wil Shriner
John Flynn
Todd Solondz
Andrew Currie
AgustÃ_n DÃ_az Yanes
Ciro Guerra
Frank Miller
John Stephenson
Jeremy Brock
Ernie Barbarash
Alexander Witt
Eddie Murphy
Nicholas Hytner
 E.W. Swackhamer
Arch Hall Sr.
Hamilton Luske
Dean DeBlois
Jill Culton
Olivier Megaton
Rick Famuyiwa
Shusuke Kaneko
Sarik Andreasyan
Ignas Jonynas
Bernhard Wicki
Walter Salles
Donna Deitch
Patrick Creadon
Lee Unkrich
Preston A. Whitmore II
Frank Whaley
Neema Barnette
Paul Flaherty
Susan Stroman
Mike Judge
Pitof
Kari Skogland
Erik Poppe
Carlos Reygadas
Richard LaGravenese
Harry Winer
Kevin Munroe
Arnold Perl
Oktay Ortabasi
Charles Nemes
Katt Shea
Tony Richardson
"""Thaddeus O'Sullivan"""
Melvin Van Peebles
Daniel Lee
Levent Semerci
Marek Kanievska
Mamoru Oshii
Robert Vernay
Frank Pierson
S.S. Rajamouli
John Hyams
Mark A.Z. DippÃ©
Stewart Raffill
Olly Blackburn
Prachya Pinkaew
Alexander Nevsky
Fred Savage
Sharon Maguire
Mark Jones
Bryan Barber
Anthony Mann
James Toback
Mark L. Lester
Larry Brand
Oliver Stone
Oksana Bychkova
Denys Arcand
Val Guest
Gabriele Salvatores
Ron Shelton
Jeffrey Nachmanoff
Saravana Subbiah
Charlotte Sieling
Franc Roddam
Chris Rock
Julio MÃ©dem
Puja Bedi
Christine Jeffs
Å arÅ«nas Bartas
Stephen St. Leger
Mike Clattenburg
Young-Sung Sohn
Kinji Fukasaku
Maksim Pezhemskiy
Takashi Miike
Michael Walker
Patrick Archibald
Enrique Gato
Jared Hess
David Dobkin
Richard Linklater
Richard Wallace
Ilya Naishuller
Ken Wiederhorn
James Fargo
Nikolay Lebedev
Delphine Gleize
Alister Grierson
Robert Butler
Alan Yuen
Tsui Hark
Mike Flanagan
Kabir Khan
Sam Miller
Peter Hewitt
Ã‰ric Besnard
Martha Coolidge
Youssef Chahine
Assaf Bernstein
Miguel Gomes
Will Finn
Michael Burke
Gia Coppola
John Landis
Mitch Rouse
Ti West
Kevin Donovan
Eleanor Coppola
Doug Bollinger
Matthew Robbins
Donald Petrie
Frank Launder
James Ivory
George P. Cosmatos
Frank Tashlin
Colin Strause
Carol Reed
Roger Vadim
Ben Affleck
Olga Subbotina
Andy Cadiff
Vic Sarin
Ed Harris
Julian Schnabel
Brad Peyton
John Boorman
Ganesh Raj
Peter Bogdanovich
Roberto AndÃ_
Albert Maysles
Laurence Olivier
Ivan Engler
Priyadarshan
Albert Parker
Luke Scott
James McTeigue
Maksim Voronkov
Daniel MonzÃ_n
Alberto RodrÃ_guez
Hanna SkÃ¶ld
Krishna D.K.
Kurt Neumann
Karen Oganesyan
Thomas J. Wright
Sergey Ginzburg
Gil Kenan
Hugh Johnson
Frank Oz
Thor Freudenthal
Scott Ziehl
Noel Clarke
Brett Leonard
John Crowley
Hal Hartley
Henry Joost
Daniel Attias
Linda Wendel
Frank Marshall
Anand L Rai
"""Enzo D'AlÃ_"""
Joe Mantello
Robert Benton
Lance Rivera
Scott Frank
Sol Tryon
Brian Koppelman
Cecil M. Hepworth
Tyler Oliver
Joshua Logan
Joseph Ruben
Robert Towne
Dan Fogelman
Eric Schaeffer
P.J. Hogan
Craig McCracken
Stephen Carpenter
Rania Attieh
Stuart McDonald
Bill Muir
Neil Jordan
Michael Cimino
Paul Thomas Anderson
Dennis Dugan
Kat Coiro
Larry Charles
John Pogue
Andy Muschietti
Harish Shankar
Vincent J. Donehue
Shivajee Chandrabhushan
Dejan ZeÄçeviÄ‡
Akiva Schaffer
Dave Fleischer
George Jackson
Sergey Bondarchuk
Luke Matheny
Yuriy Kara
Dean Parisot
Michael Haigney
Nicholas Jarecki
John Frankenheimer
David S. Goyer
Ben Wheatley
Bill Wilson
Anthony Minghella
Bertrand Blier
Chris Renaud
Merian C. Cooper
William Eubank
Jared Cohn
Kunal Kohli
Billy Wilder
Christopher McQuarrie
Francine McDougall
Michael Cohn
Nick Cassavetes
Samuel Bayer
Nikolaj Arcel
Lucio Fulci
Ralph Fiennes
Christopher Spencer
Fatih Akin
Dexter Fletcher
Sam Peckinpah
Brett Ratner
John Lafia
David Fincher
Raja Menon
Jerry Zucker
Tony Kaye
Peter Chelsom
David Evans
Carroll Ballard
Eric Till
Jessy Terrero
Joe Chappelle
Xu Zheng
Gary Winick
Mitch Davis
Andrew Morahan
Atom Egoyan
Mathieu Kassovitz
Kay Pollak
Sebastian Gutierrez
Wolfgang Reitherman
Rolf de Heer
Morgan Freeman
Justin Kurzel
Diederik Van Rooijen
Vijay Krishna Acharya
Rudolf van den Berg
Stewart Hendler
Matt Walsh
Andrew J. Smith
Simon Jaquemet
Joe Berlinger
Johannes Roberts
Michael Brandt
Farhan Akhtar
Fred Schepisi
George Clooney
Edgar Wright
Grant Heslov
James Bobin
Kodi Rama Krishna
Drew Heriot
Ed Bianchi
Anne Fontaine
John Stalberg
Patrick Hughes
Bill Plympton
Jake Szymanski
Oxide Pang Chun
Robert Iscove
Dave Bullock
Nima Nourizadeh
Alexander Korda
Raoul Walsh
Richard Stanley
Barry W. Blaustein
Davis Guggenheim
James Watkins
Heath Jones
Mark Illsley
Gregory Widen
Karyn Kusama
Rodney Bennett
Robert D. Siegel
Christian Volckman
Ed Gass-Donnelly
Sutton Roley
Paul Golding
George Stevens
Reza Bagher
Law Chi-Leung
Deon Taylor
Luis Llosa
AJ Kparr
Fede Alvarez
Scott Speer
Brad Bird
Allen Coulter
Agnieszka Smoczynska
Robert Rodriguez
Sylvain White
Joseph Pevney
Joseph Ariola
George Mendeluk
Bill Paxton
Shinji Aoyama
Lisa Krueger
Jim Rash
Nick Love
Dennis Hopper
Fyodor Bondarchuk
Tod Browning
John Pieplow
Arthur Hiller
Israel Horovitz
Tamara Jenkins
Jan Pinkava
Ritesh Batra
Masahiro Shinoda
Krish (Radhakrishna Jagarlamudi)
Jason Friedberg
Matt Dillon
Gillian Armstrong
Jerry Lewis
Anthony Russo
Kelly Asbury
Virginie Wagon
Terry Gilliam
Joel Edgerton
Collin Schiffli
Aleksey Balabanov
Hwang Dong-hyuk
David Lowery
Larisa Shepitko
Forest Whitaker
Phil Traill
Marco Brambilla
Scott Mann
Jim Jarmusch
Andrew Lau
Josh Boone
Aziz Mirza
Sujoy Ghosh
Matt Williams
Ate de Jong
Asghar Farhadi
Tim Robbins
Anand Tucker
Shane Carruth
Liev Schreiber
Leigh Whannell
Bill L. Norton
Roberto Santucci
Jafar Panahi
Nicolas Winding Refn
Baran bo Odar
J.B. Rogers
Gareth Evans
John Alexander
Bryan Buckley
John Maybury
Mark Neveldine
AgnÃ¨s Jaoui
Robert Fuest
Charles Robert Carner
David Von Ancken
Claude Chabrol
Alastair Fothergill
R. Ravi Kumar
Daniel Barber
Khyentse Norbu
Hayley Cloake
Doug Liman
Bruno Dumont
Vincent McEveety
Bob Clark
Marc Forby
Steve Buscemi
Reggie Rock Bythewood
Ronny Yu
Gary Ross
Eddy Terstall
Alejandro Jodorowsky
Peter Jackson
Arman Gevorgyan
Rakeysh Omprakash Mehra
Vladimir Bortko
Semih KaplanoÄŸlu
David Wnendt
Anees Bazmee
Stuart Paton
Albert Dupontel
Dearbhla Walsh
Sidney Poitier
Ava DuVernay
Michael Curtiz
Noah Baumbach
Tom Laughlin
Andy Warhol
Michael Lembeck
Kirk Wong
Tony Bancroft
Troy Miller
William Castle
Hunter Richards
Jon Lucas
Monteith McCollum
Joe Wright
Billy Ray
Lasse HallstrÃ¶m
Jody Hill
Bob Weinstein
Frank LaLoggia
Lauren Montgomery
Cynthia Wade
Michael Rowe
Steve Martino
Jean-Jacques Annaud
"""Pat O'Connor"""
Britt Allcroft
Shawn Levy
D. Kerry Prior 
Mark Tonderai
Tom McLoughlin
Edwin L. Marin
Renny Rye
Alexandre Aja
Arnaud des PalliÃ¨res
Gregor Jordan
Gabriel Aghion
Kunal Deshmukh
Hector Babenco
Jeff Baena
Richard Brooks
Kon Ichikawa
Jonathan Frakes
Marc Forster
Ed Stone
Evgeniy Shelyakin
Sofia Coppola
Cedric Nicolas-Troyan
Russell Crowe
Thomas Vinterberg
Kiyoshi Kurosawa
Alejandro Monteverde
James Kent
Larry Blamire
Kim Henkel
Konstantin Maksimov
Brenda Chapman
Lance Hool
Seth Michael Donsky
Errol Morris
YeÅŸim UstaoÄŸlu
Jorma Taccone
Martin Ritt
Reed Cowan
Sharmeen Obaid-Chinoy
Tom Vaughan
Bobby Farrelly
Mark Rosman
Stephen Norrington
Rob Bowman
Robert Bierman
Trent Cooper
Elia Suleiman
Wych Kaosayananda
Matthijs van Heijningen Jr.
Beeban Kidron
Menno Meyjes
JoÃ£o Pedro Rodrigues
Joe Pytka
A.R. Murugadoss
Andrew Dominik
Lawrence Guterman
David McNally
Huh Jung
Mikkel BrÃ_nne Sandemose
Stuart Townsend
Duane Adler
Mark Romanek
Lal
Ralph Bakshi
Michael Pressman
Sally Potter
Walt Becker
David Leitch
Jesse Peretz
Jon Amiel
Viktor Shamirov
Jim Henson
James Manera
Thomas BalmÃ¨s
Don Taylor
Roger Christian
Craig R. Baxley
Andrew Solt
Megan Griffiths
Mitchell Lichtenstein
Toshiyuki Hiruma
Brian Taylor
Tony Jaa
Michael Addis
Kevin Tancharoen
Brian Baugh
Andrew Stanton
Leena Yadav
Andrew Mogel
Jack Gold
Jeff Burr
Roberto Benigni
James Gunn
Louis Malle
Subhash Ghai
James Wan
Elliot Silverstein
Arnaud Desplechin
David Twohy
Babak Najafi
Stefan Schwartz
Larry Cohen
James Yukich
Joe Carnahan
Jukka-Pekka ValkeapÃ_Ã_
Lewis Teague
J. Searle Dawley
Richard Loncraine
Alessandro Genovesi
Zion Myers
David Frankel
Alek Keshishian
Nick Moore
John Mellencamp
Norio Tsuruta
Jean BenoÃ®t-LÃ©vy
William A. Graham
Reginald Le Borg
Mansoor Khan
John Lounsbery
Morgan J. Freeman
Bill Condon
Frank Coraci
Don Mancini
Arthur Penn
Udayan Prasad
Elizabeth Banks
Dan Bradley
Adam Sanderson
Evan Glodell
Paul Schrader
Michael Tiddes
Luis Prieto
Imtiaz Ali
David Duchovny
YÃ´ji Yamada
Will Gluck
Luke Wilson
Dan Zukovic
Bernardo Bertolucci
Hou Hsiao-hsien
Richard Ciupka
Park Chan-wook
Damian Harris
Chris McKay
Todd Strauss-Schulson
Aku Louhimies
Douglas Trumbull
Robert De Niro
David Anspaugh
Joseph Kosinski
Henning Carlsen
Amy Heckerling
Peter Hall
RyÃ»hei Kitamura
Lawrence Kasdan
"""Matthew O'Callaghan"""
Eytan Fox
Peter Sattler
"""Dean O'Flaherty"""
Ralph Nelson
Brian Yuzna
Glenn A. Jordan
Danny DeVito
Tamra Davis
Togan GÃ¶kbakar
Barbra Streisand
Yvette Kaplan
Chris Buck
Adam Goldberg
John Irvin
Kevin Reynolds
Zach Cregger
Sid Smith
Richard Benjamin
David Worth
Andrucha Waddington
LÃ©a Pool
Tristan Patterson
Clare Kilner
Bonnie Hunt
Charles Martin Smith
Mennan Yapo
Liu Chia-Liang
John Brahm
Jim Sonzero
Randa Haines
Gad Elmaleh
W.S. Van Dyke
Mike Marvin
Guy Ferland
Joshua Oppenheimer
Oren Moverman
Santiago Segura
Ana Lily Amirpour
Mike Newell
George Nolfi
Steve Pink
Wu Jing
Victor Nunez
"""Dan O'Bannon"""
Gordon Chan
Terrence Malick
David Nixon
Daniel Myrick
Paolo VirzÃ¬
Indra Kumar
Molly Smith
Olaf Lubaszenko
Wim Wenders
Robert J. Flaherty
Gabriel Range
Vondie Curtis-Hall
Clark Johnson
Jerome Robbins
Jonas Elmer
Jonathan Sanger
James Goldstone
Aleksandr Medvedkin
Pavel Lungin
Kirill Kuzin
Phil Alden Robinson
Richard A. Colla
Tony Gatlif
YÄ±lmaz ErdoÄŸan
Bruno Corbucci
Abbas Alibhai Burmawalla
K. S. Ravikumar
Troy Duffy
Philippe Diaz
David Carson
Brad Silberling
Jonathan Glazer
Shane Meadows
Barry Levinson
Caspar Wrede
Kevin Connor
Cellin Gluck
Tony Liu Chun-Ku
Ernest R. Dickerson
Nalan Kumarasamy
Mark DiSalle
Matt Bettinelli-Olpin
Michael Hoffman
Chris Gorak
Aamir Khan
Barry Sonnenfeld
Corey Yuen Kwai
Gary David Goldberg
Steve Shill
Ricardo de Montreuil
Ben Sombogaart
Meiert Avis
"""Jim O'Hanlon"""
Siva
Jonathan Lynn
Samuel Fuller
Georges MÃ©liÃ¨s
Tobe Hooper
D. Stevens
Warren Beatty
Cary Fukunaga
Phil Lord
Mike Leigh
Sylvester Stallone
Rod Hardy
Arch Nicholson
Steve Carr
Andrea Molaioli
Nick Hurran
Wes Ball
James Komack
Fred M. Wilcox
Rajiv Menon
Ringo Lam
Michael Caton-Jones
Dmitriy Kiselev
Emilio Estevez
Erik Canuel
Martin Brest
James L. Brooks
FrÃ©dÃ©ric Jardin
Patrick Tatopoulos
Tom Putnam
Andrew Adamson
Bruce Timm
Julian Jarrold
Michael Pate
Kevin Tenney
Chris Jaymes
MÃ¥ns MÃ¥rlind
Afonso Poyart
Natalya Uglitskikh
Charles L. Gaskill
Patrick Read Johnson
Joshua Overbay
Curtis Hanson
James Frawley
Leslie Norman
Nicholas Stoller
Piotr Dumala
Maggie Carey
Cassandra Nicolaou
Charles Band
Yash Chopra
William Brent Bell
Terence Young
Becky Smith
Julie Anne Robinson
Baz Luhrmann
Kasi Lemmons
Nicole Conn
Alexander Holt
Bernie Goldmann
Nancy Meyers
Todd Phillips
Ryoo Seung-wan
Daniel Benmayor
Albert Magnoli
Magnus Martens
John Ireland
Dan Ireland
Robinson Devor
Matt Dorff
Rian Johnson
Jon Avnet
Henry Hathaway
Karthik Subbaraj
George T. Miller
Phil Morrison
Harmony Korine
Bertrand Tavernier
Jeff Broadstreet
Blair Treu
Anthony Byrne
Frank Nissen
Alain Chabat
Declan Lowney
Rob Sitch
Hawley Pratt
Rachel Talalay
Marilyn Agrelo
Patrice Leconte
Vidhu Vinod Chopra
V. Z. Durai
Colin Trevorrow
Tate Taylor
FrÃ©dÃ©ric Videau
Theodore Melfi
George Sidney
Don Sharp
Rob McKittrick
Dustin Hoffman
Rupert Wyatt
Lee Sang-Il
Peter Hyams
Evgeniy Bedarev
Robert Day
Trey Parker
Annabel Jankel
Michael Carreras
Travis Zariwny
John Murlowski
Stuart Gillard
Harald Zwart
Malcolm Venville
Vishnuvardhan
Michael Patrick Jann
Dennis Iliadis
John Patrick Shanley
Kelsey T. Howard
James Marsh
Matt Cimber
Burr Steers
Jorge Blanco
Parmeet Sethi
Doug Ellin
Patricia Riggen
James Algar
Don Medford
W.D. Hogan
Craig Gillespie
Michael Karbelnikoff
D.W. Griffith
AgustÃ_ Villaronga
Myles Berkowitz
Heitor Dhalia
Marius Balchunas
John English
Julien Temple
Wayne Beach
Bradley Rust Gray
Lee Toland Krieger
Kathryn Bigelow
Chris Carter
