title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors
Friday,Friday,3500000,28215918.0,24715918.0,1,1,1,91.0,Comedy,3,Comedy,1995-04-26,F. Gary Gray,Ice Cube
From Dusk Till Dawn,From Dusk Till Dawn,19000000,25836616.0,6836616.0,1,1,2,108.0,Horror,11,"Horror,Action,Thriller,Crime",1996-01-19,Robert Rodriguez,George Clooney
Fair Game,Fair Game,50000000,11534477.0,-38465523.0,0,0,2,91.0,Action,0,"Action,Thriller,Romance",1995-11-03,Andrew Sipes,William Baldwin
Big Bully,Big Bully,15000000,2042530.0,-12957470.0,0,0,1,90.0,Comedy,3,"Comedy,Family",1996-01-26,Steve Miner,Rick Moranis
Screamers,Screamers,20000000,5781885.0,-14218115.0,0,1,1,108.0,Horror,11,"Horror,Science Fiction",1995-09-08,Christian Duguay,Peter Weller
Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,8000000,529766.0,-7470234.0,0,0,1,116.0,Drama,6,"Drama,Crime",1995-12-01,Gary Fleder,Andy García
White Squall,White Squall,38000000,10300000.0,-27700000.0,0,0,4,129.0,Action,0,"Action,Drama",1996-02-02,Ridley Scott,Jeff Bridges
Nick of Time,Nick of Time,8169363,8175346.0,5983.0,1,0,1,90.0,Crime,4,"Crime,Drama,Thriller",1995-11-22,John Badham,Johnny Depp
Mary Reilly,Mary Reilly,47000000,12379402.0,-34620598.0,0,0,1,104.0,Drama,6,"Drama,Horror,Thriller,Romance",1996-02-23,Stephen Frears,Julia Roberts
Vampire in Brooklyn,Vampire in Brooklyn,14000000,19800000.0,5800000.0,1,0,1,100.0,Comedy,3,"Comedy,Horror,Romance",1995-10-26,Wes Craven,Eddie Murphy
Broken Arrow,Broken Arrow,50000000,150270147.0,100270147.0,1,0,1,108.0,Action,0,"Action,Adventure,Drama,Thriller",1996-02-09,John Woo,John Travolta
Bottle Rocket,Bottle Rocket,7000000,560069.0,-6439931.0,0,0,2,91.0,Comedy,3,"Comedy,Crime,Drama",1996-02-21,Wes Anderson,Luke Wilson
Happy Gilmore,Happy Gilmore,12000000,41205099.0,29205099.0,1,0,1,92.0,Comedy,3,Comedy,1996-02-16,Dennis Dugan,Adam Sandler
The Bridges of Madison County,The Bridges of Madison County,24000000,182016617.0,158016617.0,1,0,1,135.0,Drama,6,"Drama,Romance",1995-05-28,Clint Eastwood,Meryl Streep
Braveheart,Braveheart,72000000,210000000.0,138000000.0,1,0,4,177.0,Action,0,"Action,Drama,History,War",1995-05-24,Mel Gibson,Mel Gibson
Taxi Driver,Taxi Driver,1300000,28262574.0,26962574.0,1,0,2,114.0,Crime,4,"Crime,Drama",1976-02-07,Martin Scorsese,Robert De Niro
Rumble in the Bronx,紅番區,7500000,32392047.0,24892047.0,1,0,2,91.0,Crime,4,"Crime,Action,Comedy,Thriller",1995-01-30,Stanley Tong,Jackie Chan
Steal Big Steal Little,Steal Big Steal Little,25000000,6278139.0,-18721861.0,0,0,1,113.0,Comedy,3,"Comedy,Drama",1995-09-29,Andrew Davis,Andy García
Boomerang,Boomerang,40000000,70100000.0,30100000.0,1,0,2,117.0,Comedy,3,"Comedy,Romance",1992-06-30,Reginald Hudlin,Eddie Murphy
Flirting with Disaster,Flirting with Disaster,7000000,14702438.0,7702438.0,1,0,1,92.0,Comedy,3,"Comedy,Romance",1996-03-22,David O. Russell,Ben Stiller
Jade,Jade,50000000,9851610.0,-40148390.0,0,0,1,95.0,Action,0,"Action,Thriller,Mystery,Romance",1995-10-13,William Friedkin,David Caruso
The Birdcage,The Birdcage,31000000,185260553.0,154260553.0,1,0,2,117.0,Comedy,3,Comedy,1996-03-08,Mike Nichols,Robin Williams
Bad Boys,Bad Boys,19000000,141407024.0,122407024.0,1,1,1,118.0,Action,0,"Action,Comedy,Crime,Thriller",1995-04-07,Michael Bay,Will Smith
An Awfully Big Adventure,An Awfully Big Adventure,4000000,851545.0,-3148455.0,0,0,1,113.0,Romance,14,"Romance,Drama,Comedy",1995-07-21,Mike Newell,Alan Rickman
Apollo 13,Apollo 13,52000000,355237933.0,303237933.0,1,0,1,140.0,Drama,6,Drama,1995-06-30,Ron Howard,Tom Hanks
Rob Roy,Rob Roy,28000000,31596911.0,3596911.0,1,0,1,139.0,Adventure,1,Adventure,1995-04-13,Michael Caton-Jones,Liam Neeson
Batman Forever,Batman Forever,100000000,336529144.0,236529144.0,1,1,1,121.0,Action,0,"Action,Crime,Fantasy",1995-06-16,Joel Schumacher,Val Kilmer
Blue in the Face,Blue in the Face,2000000,1275000.0,-725000.0,0,1,1,83.0,Comedy,3,Comedy,1995-09-15,Paul Auster,Harvey Keitel
Canadian Bacon,Canadian Bacon,11000000,178104.0,-10821896.0,0,0,1,91.0,Action,0,"Action,Comedy",1995-06-08,Michael Moore,John Candy
Casper,Casper,50000000,287928194.0,237928194.0,1,1,1,100.0,Fantasy,8,"Fantasy,Comedy,Family",1995-05-26,Brad Silberling,Christina Ricci
Clockers,Clockers,25000000,13071518.0,-11928482.0,0,0,1,128.0,Mystery,13,"Mystery,Crime,Drama",1995-09-15,Spike Lee,Harvey Keitel
Congo,Congo,50000000,152022101.0,102022101.0,1,0,2,109.0,Action,0,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller",1995-06-09,Frank Marshall,Laura Linney
Crimson Tide,Crimson Tide,53000000,157387195.0,104387195.0,1,0,1,116.0,Action,0,"Action,Thriller,Drama",1995-05-12,Tony Scott,Denzel Washington
Desperado,Desperado,7000000,25405445.0,18405445.0,1,1,1,104.0,Thriller,17,"Thriller,Action,Crime",1995-08-25,Robert Rodriguez,Antonio Banderas
Devil in a Blue Dress,Devil in a Blue Dress,27000000,16140822.0,-10859178.0,0,0,1,102.0,Drama,6,"Drama,Mystery,Thriller",1995-09-15,Carl Franklin,Denzel Washington
Die Hard: With a Vengeance,Die Hard: With a Vengeance,90000000,366101666.0,276101666.0,1,1,3,128.0,Action,0,"Action,Thriller",1995-05-19,John McTiernan,Bruce Willis
First Knight,First Knight,55000000,127600435.0,72600435.0,1,0,2,134.0,Action,0,"Action,Adventure,Drama,Romance",1995-07-07,Jerry Zucker,Sean Connery
Hackers,Hackers,20000000,7563728.0,-12436272.0,0,0,4,107.0,Action,0,"Action,Crime,Thriller,Drama",1995-09-14,Iain Softley,Jonny Lee Miller
Johnny Mnemonic,Johnny Mnemonic,25000000,19075720.0,-5924280.0,0,0,2,97.0,Adventure,1,"Adventure,Action,Drama,Science Fiction,Thriller",1995-05-26,Robert Longo,Keanu Reeves
Judge Dredd,Judge Dredd,90000000,113493481.0,23493481.0,1,0,1,96.0,Science Fiction,15,Science Fiction,1995-06-30,Danny Cannon,Sylvester Stallone
Kids,Kids,1500000,7412216.0,5912216.0,1,0,1,91.0,Drama,6,"Drama,Crime",1995-07-28,Larry Clark,Leo Fitzpatrick
Living in Oblivion,Living in Oblivion,500000,1148752.0,648752.0,1,0,1,89.0,Drama,6,"Drama,Comedy",1995-01-20,Tom DiCillo,Steve Buscemi
Mallrats,Mallrats,6000000,2122561.0,-3877439.0,0,0,1,94.0,Romance,14,"Romance,Comedy",1995-10-20,Kevin Smith,Jason Lee
Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,15000000,66000000.0,51000000.0,1,1,1,92.0,Action,0,"Action,Adventure,Science Fiction,Family,Fantasy",1995-06-30,Bryan Spicer,Amy Jo Johnson
Mute Witness,Mute Witness,2,1.0,-1.0,0,0,2,95.0,Thriller,17,"Thriller,Foreign",1995-09-28,Anthony Waller,Marina Zudina
The Net,The Net,22000000,110627965.0,88627965.0,1,1,2,114.0,Crime,4,"Crime,Drama,Mystery,Thriller,Action",1995-07-28,Irwin Winkler,Sandra Bullock
Party Girl,Party Girl,150000,472370.0,322370.0,1,0,1,94.0,Comedy,3,Comedy,1995-06-09,Daisy von Scherler Mayer,Parker Posey
The Prophecy,The Prophecy,8,16.0,8.0,1,1,1,98.0,Fantasy,8,"Fantasy,Horror,Thriller",1995-09-01,Gregory Widen,Christopher Walken
The Scarlet Letter,The Scarlet Letter,50000000,10382407.0,-39617593.0,0,0,1,135.0,Drama,6,"Drama,History,Romance",1995-10-13,Roland Joffé,Demi Moore
Showgirls,Showgirls,45000000,20350754.0,-24649246.0,0,1,1,128.0,Drama,6,Drama,1995-09-22,Paul Verhoeven,Elizabeth Berkley
Smoke,Smoke,7000000,8349430.0,1349430.0,1,1,1,112.0,Comedy,3,"Comedy,Drama",1995-06-09,Wayne Wang,Harvey Keitel
Species,Species,35000000,113374103.0,78374103.0,1,1,1,108.0,Science Fiction,15,"Science Fiction,Horror,Action",1995-07-07,Roger Donaldson,Natasha Henstridge
Strange Days,Strange Days,42000000,7959291.0,-34040709.0,0,0,1,145.0,Crime,4,"Crime,Drama,Science Fiction,Thriller",1995-10-13,Kathryn Bigelow,Ralph Fiennes
The Tie That Binds,The Tie That Binds,14000000,5780000.0,-8220000.0,0,0,1,99.0,Thriller,17,Thriller,1995-09-08,Wesley Strick,Daryl Hannah
Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,60000000,104324083.0,44324083.0,1,1,1,100.0,Action,0,"Action,Thriller",1995-07-13,Geoff Murphy,Steven Seagal
A Walk in the Clouds,A Walk in the Clouds,20000000,50012507.0,30012507.0,1,0,1,103.0,Drama,6,"Drama,Romance",1995-08-11,Alfonso Aráu,Keanu Reeves
Waterworld,Waterworld,175000000,264218220.0,89218220.0,1,0,3,135.0,Adventure,1,"Adventure,Action",1995-07-28,Kevin Reynolds,Kevin Costner
Burnt by the Sun,Утомлённые солнцем,2800000,2616503.0,-183497.0,0,1,1,135.0,Drama,6,Drama,1994-05-01,Nikita Mikhalkov,Nikita Mikhalkov
Before Sunrise,Before Sunrise,2500000,5535405.0,3035405.0,1,1,3,105.0,Drama,6,"Drama,Romance",1995-01-27,Richard Linklater,Ethan Hawke
Billy Madison,Billy Madison,10000000,26488734.0,16488734.0,1,0,3,89.0,Comedy,3,Comedy,1995-02-10,Tamra Davis,Adam Sandler
Boys on the Side,Boys on the Side,21000000,23450000.0,2450000.0,1,0,1,115.0,Comedy,3,"Comedy,Drama",1995-02-03,Herbert Ross,Whoopi Goldberg
Clerks,Clerks,27000,3151130.0,3124130.0,1,1,1,92.0,Comedy,3,Comedy,1994-09-13,Kevin Smith,"""Brian OHalloran"""
Don Juan DeMarco,Don Juan DeMarco,25000000,22200000.0,-2800000.0,0,0,1,97.0,Romance,14,"Romance,Drama,Comedy",1994-10-01,Jeremy Leven,Johnny Depp
Disclosure,Disclosure,55000000,214015089.0,159015089.0,1,0,1,123.0,Drama,6,"Drama,Thriller,Crime,Mystery,Romance",1994-12-09,Barry Levinson,Michael Douglas
Dumb and Dumber,Dumb and Dumber,16000000,247275374.0,231275374.0,1,1,1,107.0,Comedy,3,Comedy,1994-12-16,Peter Farrelly,Jim Carrey
Ed Wood,Ed Wood,18000000,5887457.0,-12112543.0,0,0,1,127.0,Comedy,3,"Comedy,Drama,History",1994-09-27,Tim Burton,Johnny Depp
Hideaway,Hideaway,15000000,12201255.0,-2798745.0,0,0,1,103.0,Drama,6,"Drama,Thriller",1995-03-03,Brett Leonard,Jeff Goldblum
Hoop Dreams,Hoop Dreams,700000,7830611.0,7130611.0,1,0,1,171.0,Documentary,5,Documentary,1994-09-12,Steve James,William Gates
Heavenly Creatures,Heavenly Creatures,5000000,3049135.0,-1950865.0,0,0,1,99.0,Drama,6,"Drama,Fantasy",1994-09-02,Peter Jackson,Melanie Lynskey
Houseguest,Houseguest,10500000,26325256.0,15825256.0,1,0,2,113.0,Comedy,3,"Comedy,Family",1995-01-06,Randall Miller,Sinbad
Interview with the Vampire,Interview with the Vampire,60000000,223664608.0,163664608.0,1,1,2,123.0,Horror,11,"Horror,Romance",1994-11-11,Neil Jordan,Brad Pitt
Jefferson in Paris,Jefferson in Paris,14000000,2474000.0,-11526000.0,0,0,1,139.0,Drama,6,"Drama,Romance",1995-03-31,James Ivory,Nick Nolte
Junior,Junior,60000000,37000000.0,-23000000.0,0,0,1,109.0,Comedy,3,"Comedy,Family,Romance",1994-11-22,Ivan Reitman,Arnold Schwarzenegger
Star Wars,Star Wars,11000000,775398007.0,764398007.0,1,1,1,121.0,Adventure,1,"Adventure,Action,Science Fiction",1977-05-25,George Lucas,Mark Hamill
Like Water for Chocolate,Como agua para chocolate,2000000,21665468.0,19665468.0,1,0,2,105.0,Drama,6,"Drama,Romance",1992-04-16,Alfonso Aráu,Marco Leonardi
Legends of the Fall,Legends of the Fall,30000000,160638883.0,130638883.0,1,0,2,133.0,Adventure,1,"Adventure,Drama,Romance,War",1994-12-16,Edward Zwick,Brad Pitt
Losing Isaiah,Losing Isaiah,17000000,7603766.0,-9396234.0,0,0,1,106.0,Drama,6,Drama,1995-03-17,Stephen Gyllenhaal,Jessica Lange
Mary Shelley's Frankenstein,Frankenstein,45000000,112006296.0,67006296.0,1,0,1,123.0,Drama,6,"Drama,Horror,Science Fiction,Romance",1994-11-04,Kenneth Branagh,Robert De Niro
Miami Rhapsody,Miami Rhapsody,6,5.0,-1.0,0,0,1,95.0,Comedy,3,"Comedy,Romance",1995-01-27,David Frankel,Sarah Jessica Parker
Nell,Nell,31000000,106683817.0,75683817.0,1,0,1,112.0,Drama,6,"Drama,Thriller",1994-12-23,Michael Apted,Jodie Foster
Natural Born Killers,Natural Born Killers,34000000,50282766.0,16282766.0,1,0,3,119.0,Crime,4,"Crime,Thriller,Drama",1994-08-25,Oliver Stone,Woody Harrelson
Outbreak,Outbreak,50000000,189859560.0,139859560.0,1,0,3,127.0,Action,0,"Action,Drama,Science Fiction,Thriller",1995-03-10,Wolfgang Petersen,Dustin Hoffman
Leon: The Professional,Léon,16000000,45284974.0,29284974.0,1,0,1,110.0,Thriller,17,"Thriller,Crime,Drama",1994-09-14,Luc Besson,Jean Reno
The Perez Family,The Perez Family,11000000,2832826.0,-8167174.0,0,0,1,113.0,Comedy,3,"Comedy,Drama,Romance",1995-05-12,Mira Nair,Marisa Tomei
Pulp Fiction,Pulp Fiction,8000000,213928762.0,205928762.0,1,0,3,154.0,Thriller,17,"Thriller,Crime",1994-09-10,Quentin Tarantino,John Travolta
Pushing Hands,Pushing Hands,400000,152322.0,-247678.0,0,0,2,105.0,Comedy,3,"Comedy,Drama",1992-02-01,Ang Lee,Sihung Lung
The Quick and the Dead,The Quick and the Dead,32000000,18552460.0,-13447540.0,0,0,1,107.0,Action,0,"Action,Western",1995-02-09,Sam Raimi,Sharon Stone
Roommates,Roommates,22000000,12400000.0,-9600000.0,0,0,1,108.0,Drama,6,"Drama,Comedy",1995-03-01,Peter Yates,Peter Falk
Prêt-à-Porter,Prêt-à-Porter,15000000,11300653.0,-3699347.0,0,0,5,133.0,Drama,6,"Drama,Comedy",1994-12-23,Robert Altman,Marcello Mastroianni
The Swan Princess,The Swan Princess,35000000,9771658.0,-25228342.0,0,1,1,89.0,Animation,2,Animation,1994-11-18,Richard Rich,Michelle Nicastro
The Specialist,The Specialist,45000000,170362582.0,125362582.0,1,0,1,110.0,Action,0,"Action,Thriller",1994-10-07,Luis Llosa,Sylvester Stallone
Stargate,Stargate,55000000,196567262.0,141567262.0,1,0,3,121.0,Action,0,"Action,Adventure,Science Fiction",1994-10-27,Roland Emmerich,Kurt Russell
The Santa Clause,The Santa Clause,22000000,189833357.0,167833357.0,1,1,1,97.0,Fantasy,8,"Fantasy,Drama,Comedy,Family",1994-11-10,John Pasquin,Tim Allen
The Shawshank Redemption,The Shawshank Redemption,25000000,28341469.0,3341469.0,1,0,1,142.0,Drama,6,"Drama,Crime",1994-09-23,Frank Darabont,Tim Robbins
Tank Girl,Tank Girl,25000000,4064495.0,-20935505.0,0,0,1,98.0,Action,0,"Action,Comedy,Fantasy,Science Fiction",1995-03-31,Rachel Talalay,Lori Petty
Star Trek: Generations,Star Trek: Generations,38000000,120000000.0,82000000.0,1,1,1,118.0,Science Fiction,15,"Science Fiction,Action,Adventure,Thriller",1994-11-17,David Carson,Patrick Stewart
Tales from the Hood,Tales from the Hood,6000000,12000000.0,6000000.0,1,0,1,98.0,Crime,4,"Crime,Horror,Thriller",1995-05-24,Rusty Cundieff,Clarence Williams III
What's Eating Gilbert Grape,What's Eating Gilbert Grape,11000000,10032765.0,-967235.0,0,0,1,118.0,Romance,14,"Romance,Drama",1993-12-17,Lasse Hallström,Johnny Depp
Virtuosity,Virtuosity,30000000,24048000.0,-5952000.0,0,0,1,106.0,Action,0,"Action,Crime,Science Fiction,Thriller",1995-08-04,Brett Leonard,Denzel Washington
While You Were Sleeping,While You Were Sleeping,17000000,182057016.0,165057016.0,1,0,1,103.0,Comedy,3,"Comedy,Drama,Romance",1995-04-21,Jon Turteltaub,Sandra Bullock
Muriel's Wedding,Muriel's Wedding,3000000,15119639.0,12119639.0,1,0,1,106.0,Drama,6,"Drama,Comedy,Romance",1994-09-29,P.J. Hogan,Toni Collette
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,15000000,107217396.0,92217396.0,1,1,1,86.0,Comedy,3,"Comedy,Mystery",1994-02-04,Tom Shadyac,Jim Carrey
Bitter Moon,Bitter Moon,5000000,1862805.0,-3137195.0,0,0,2,139.0,Thriller,17,"Thriller,Drama,Romance",1992-09-02,Roman Polanski,Hugh Grant
Clear and Present Danger,Clear and Present Danger,62000000,215887717.0,153887717.0,1,1,1,141.0,Action,0,"Action,Drama,Thriller",1994-08-03,Phillip Noyce,Harrison Ford
The Client,The Client,45000000,117615211.0,72615211.0,1,0,1,119.0,Drama,6,"Drama,Thriller,Crime,Mystery",1994-07-20,Joel Schumacher,Susan Sarandon
The Crow,The Crow,15000000,94000000.0,79000000.0,1,1,1,102.0,Fantasy,8,"Fantasy,Action,Thriller",1994-05-11,Alex Proyas,Brandon Lee
The Flintstones,The Flintstones,46000000,341631208.0,295631208.0,1,1,1,91.0,Fantasy,8,"Fantasy,Comedy,Family",1994-05-26,Brian Levant,John Goodman
Forrest Gump,Forrest Gump,55000000,677945399.0,622945399.0,1,0,1,142.0,Comedy,3,"Comedy,Drama,Romance",1994-07-06,Robert Zemeckis,Tom Hanks
Four Weddings and a Funeral,Four Weddings and a Funeral,6000000,254700832.0,248700832.0,1,0,1,117.0,Comedy,3,"Comedy,Drama,Romance",1994-03-09,Mike Newell,Hugh Grant
I Love Trouble,I Love Trouble,45000000,61947267.0,16947267.0,1,0,2,123.0,Action,0,"Action,Comedy,Romance",1994-06-29,Charles Shyer,Nick Nolte
The Lion King,The Lion King,45000000,788241776.0,743241776.0,1,1,1,89.0,Family,7,"Family,Animation,Drama",1994-06-23,Roger Allers,Jonathan Taylor Thomas
Little Buddha,Little Buddha,35000000,4858139.0,-30141861.0,0,0,1,140.0,Drama,6,"Drama,History",1993-12-01,Bernardo Bertolucci,Keanu Reeves
New Nightmare,New Nightmare,14000000,18090181.0,4090181.0,1,1,1,112.0,Horror,11,"Horror,Thriller,Mystery,Fantasy",1994-10-13,Wes Craven,Heather Langenkamp
The Mask,The Mask,23000000,351583407.0,328583407.0,1,1,2,101.0,Romance,14,"Romance,Comedy,Crime,Fantasy",1994-07-29,Chuck Russell,Jim Carrey
The Naked Gun 33⅓: The Final Insult,The Naked Gun 33⅓: The Final Insult,30000000,51132598.0,21132598.0,1,1,1,83.0,Comedy,3,"Comedy,Crime",1994-03-18,Peter Segal,Leslie Nielsen
Reality Bites,Reality Bites,11500000,20079850.0,8579850.0,1,0,1,99.0,Drama,6,Drama,1994-02-18,Ben Stiller,Winona Ryder
Red Rock West,Red Rock West,8000000,2000000.0,-6000000.0,0,0,1,98.0,Crime,4,"Crime,Drama,Thriller",1993-07-08,John Dahl,Nicolas Cage
Speed,Speed,30000000,350448145.0,320448145.0,1,1,1,116.0,Action,0,"Action,Adventure,Crime",1994-06-09,Jan de Bont,Keanu Reeves
Timecop,Timecop,27000000,101646581.0,74646581.0,1,1,1,99.0,Thriller,17,"Thriller,Science Fiction,Action,Crime",1994-09-15,Peter Hyams,Jean-Claude Van Damme
True Lies,True Lies,115000000,378882411.0,263882411.0,1,0,4,141.0,Action,0,"Action,Thriller",1994-07-14,James Cameron,Arnold Schwarzenegger
Wyatt Earp,Wyatt Earp,63000000,25052000.0,-37948000.0,0,0,1,191.0,Drama,6,"Drama,Action,Western",1994-06-24,Lawrence Kasdan,Kevin Costner
A Low Down Dirty Shame,A Low Down Dirty Shame,10000000,29392418.0,19392418.0,1,0,1,100.0,Action,0,"Action,Comedy,Crime",1994-11-23,Keenen Ivory Wayans,Keenen Ivory Wayans
Jason's Lyric,Jason's Lyric,7000000,20851521.0,13851521.0,1,0,1,119.0,Crime,4,"Crime,Drama,Romance",1994-09-28,Doug McHenry,Allen Payne
Street Fighter,Street Fighter,35000000,99423521.0,64423521.0,1,1,2,102.0,Action,0,"Action,Adventure,Thriller",1994-12-22,Steven E. de Souza,Jean-Claude Van Damme
Highlander: The Final Dimension,Highlander III: The Sorcerer,26000000,36800000.0,10800000.0,1,1,1,99.0,Action,0,"Action,Fantasy,Science Fiction",1994-11-29,Andrew Morahan,Christopher Lambert
In the Mouth of Madness,In the Mouth of Madness,8000000,8946600.0,946600.0,1,0,1,95.0,Horror,11,"Horror,Mystery,Thriller",1994-12-12,John Carpenter,Sam Neill
The Age of Innocence,The Age of Innocence,34000000,32255440.0,-1744560.0,0,0,2,139.0,Drama,6,"Drama,Romance",1993-09-17,Martin Scorsese,Daniel Day-Lewis
The Air Up There,The Air Up There,17080000,21011500.0,3931500.0,1,0,1,107.0,Comedy,3,"Comedy,Family",1994-01-07,Paul Michael Glaser,Kevin Bacon
Beverly Hills Cop III,Beverly Hills Cop III,50000000,119208989.0,69208989.0,1,1,1,104.0,Action,0,"Action,Comedy,Crime",1994-05-24,John Landis,Eddie Murphy
Body Snatchers,Body Snatchers,13000000,428868.0,-12571132.0,0,0,1,87.0,Horror,11,"Horror,Science Fiction,Thriller",1993-06-09,Abel Ferrara,Gabrielle Anwar
A Bronx Tale,A Bronx Tale,22000000,17287898.0,-4712102.0,0,0,2,121.0,Drama,6,"Drama,Crime",1993-09-14,Robert De Niro,Robert De Niro
Calendar Girl,Calendar Girl,13000000,2570145.0,-10429855.0,0,0,1,90.0,Drama,6,"Drama,Comedy",1993-09-03,John Whitesell,Jason Priestley
Carlito's Way,Carlito's Way,30000000,36516012.0,6516012.0,1,0,2,144.0,Action,0,"Action,Crime,Drama,Thriller",1993-11-10,Brian De Palma,Al Pacino
Cliffhanger,Cliffhanger,70000000,255000211.0,185000211.0,1,0,1,112.0,Action,0,"Action,Adventure,Thriller",1993-05-28,Renny Harlin,Sylvester Stallone
