title,original_title,budget,revenue,profit,success,belongs_to_collection,count_language,runtime,genre,genre_encode,genres,release_date,director,actors,actorAwardNominations,actorAwardWins,actorMovies,directorAwardNominations,directorAwardWins,directorMovies
The City of Lost Children,La Cité des Enfants Perdus,18000000,1738611.0,-16261389.0,0,0,2,108.0,Fantasy,8,"Fantasy,Science Fiction,Adventure",1995-05-16,Jean-Pierre Jeunet,Ron Perlman,12,8,243,30,46,16
Twelve Monkeys,Twelve Monkeys,29500000,168840000.0,139340000.0,1,0,2,129.0,Science Fiction,15,"Science Fiction,Thriller,Mystery",1995-12-29,Terry Gilliam,Bruce Willis,38,22,119,30,24,19
Babe,Babe,30000000,254134910.0,224134910.0,1,1,1,89.0,Fantasy,8,"Fantasy,Drama,Comedy,Family",1995-07-18,Chris Noonan,Christine Cavanaugh,2,2,89,8,7,12
Dead Man Walking,Dead Man Walking,11000000,39363635.0,28363635.0,1,0,1,122.0,Drama,6,Drama,1995-12-29,Tim Robbins,Susan Sarandon,82,55,153,40,37,11
Mortal Kombat,Mortal Kombat,18000000,122195920.0,104195920.0,1,1,1,101.0,Action,0,"Action,Fantasy",1995-08-18,Paul W.S. Anderson,Christopher Lambert,1,1,87,2,2,17
To Die For,To Die For,20000000,21284514.0,1284514.0,1,0,1,106.0,Fantasy,8,"Fantasy,Drama,Comedy,Thriller",1995-05-20,Gus Van Sant,Nicole Kidman,183,90,84,62,43,50
How To Make An American Quilt,How To Make An American Quilt,10000000,23574130.0,13574130.0,1,0,1,116.0,Drama,6,"Drama,Romance",1995-10-06,Jocelyn Moorhouse,Winona Ryder,49,21,62,6,10,6
Se7en,Se7en,33000000,327311859.0,294311859.0,1,0,1,127.0,Crime,4,"Crime,Mystery,Thriller",1995-09-22,David Fincher,Brad Pitt,153,67,81,112,66,84
Pocahontas,Pocahontas,55000000,346079773.0,291079773.0,1,1,1,81.0,Adventure,1,"Adventure,Animation,Drama,Family",1995-06-14,Mike Gabriel,Irene Bedard,2,7,64,4,4,3
The Usual Suspects,The Usual Suspects,6000000,23341568.0,17341568.0,1,0,4,106.0,Drama,6,"Drama,Crime,Thriller",1995-07-19,Bryan Singer,Stephen Baldwin,5,3,104,23,19,20
Mighty Aphrodite,Mighty Aphrodite,15000000,6700000.0,-8300000.0,0,0,1,95.0,Comedy,3,"Comedy,Romance",1995-09-13,Woody Allen,Woody Allen,213,136,48,213,136,55
Friday,Friday,3500000,28215918.0,24715918.0,1,1,1,91.0,Comedy,3,Comedy,1995-04-26,F. Gary Gray,Ice Cube,25,9,62,11,6,35
From Dusk Till Dawn,From Dusk Till Dawn,19000000,25836616.0,6836616.0,1,1,2,108.0,Horror,11,"Horror,Action,Thriller,Crime",1996-01-19,Robert Rodriguez,George Clooney,200,90,89,28,38,43
Fair Game,Fair Game,50000000,11534477.0,-38465523.0,0,0,2,91.0,Action,0,"Action,Thriller,Romance",1995-11-03,Andrew Sipes,William Baldwin,5,3,79,0,0,1
Big Bully,Big Bully,15000000,2042530.0,-12957470.0,0,0,1,90.0,Comedy,3,"Comedy,Family",1996-01-26,Steve Miner,Rick Moranis,5,3,40,4,5,52
Screamers,Screamers,20000000,5781885.0,-14218115.0,0,1,1,108.0,Horror,11,"Horror,Science Fiction",1995-09-08,Christian Duguay,Peter Weller,8,2,80,7,10,31
Things to Do in Denver When You're Dead,Things to Do in Denver When You're Dead,8000000,529766.0,-7470234.0,0,0,1,116.0,Drama,6,"Drama,Crime",1995-12-01,Gary Fleder,Andy García,26,17,95,3,3,43
White Squall,White Squall,38000000,10300000.0,-27700000.0,0,0,4,129.0,Action,0,"Action,Drama",1996-02-02,Ridley Scott,Jeff Bridges,107,46,90,93,47,48
Nick of Time,Nick of Time,8169363,8175346.0,5983.0,1,0,1,90.0,Crime,4,"Crime,Drama,Thriller",1995-11-22,John Badham,Johnny Depp,143,79,91,7,5,66
Mary Reilly,Mary Reilly,47000000,12379402.0,-34620598.0,0,0,1,104.0,Drama,6,"Drama,Horror,Thriller,Romance",1996-02-23,Stephen Frears,Julia Roberts,98,59,62,72,67,63
Vampire in Brooklyn,Vampire in Brooklyn,14000000,19800000.0,5800000.0,1,0,1,100.0,Comedy,3,"Comedy,Horror,Romance",1995-10-26,Wes Craven,Eddie Murphy,73,33,56,6,10,33
Broken Arrow,Broken Arrow,50000000,150270147.0,100270147.0,1,0,1,108.0,Action,0,"Action,Adventure,Drama,Thriller",1996-02-09,John Woo,John Travolta,58,54,77,15,19,44
Bottle Rocket,Bottle Rocket,7000000,560069.0,-6439931.0,0,0,2,91.0,Comedy,3,"Comedy,Crime,Drama",1996-02-21,Wes Anderson,Luke Wilson,4,10,77,157,75,18
Happy Gilmore,Happy Gilmore,12000000,41205099.0,29205099.0,1,0,1,92.0,Comedy,3,Comedy,1996-02-16,Dennis Dugan,Adam Sandler,77,54,74,4,1,38
The Bridges of Madison County,The Bridges of Madison County,24000000,182016617.0,158016617.0,1,0,1,135.0,Drama,6,"Drama,Romance",1995-05-28,Clint Eastwood,Meryl Streep,359,174,84,162,148,40
Braveheart,Braveheart,72000000,210000000.0,138000000.0,1,0,4,177.0,Action,0,"Action,Drama,History,War",1995-05-24,Mel Gibson,Mel Gibson,41,43,61,41,43,10
Taxi Driver,Taxi Driver,1300000,28262574.0,26962574.0,1,0,2,114.0,Crime,4,"Crime,Drama",1976-02-07,Martin Scorsese,Robert De Niro,99,55,116,214,142,61
Rumble in the Bronx,紅番區,7500000,32392047.0,24892047.0,1,0,2,91.0,Crime,4,"Crime,Action,Comedy,Thriller",1995-01-30,Stanley Tong,Jackie Chan,47,39,140,8,3,13
Steal Big Steal Little,Steal Big Steal Little,25000000,6278139.0,-18721861.0,0,0,1,113.0,Comedy,3,"Comedy,Drama",1995-09-29,Andrew Davis,Andy García,26,17,95,4,1,16
Boomerang,Boomerang,40000000,70100000.0,30100000.0,1,0,2,117.0,Comedy,3,"Comedy,Romance",1992-06-30,Reginald Hudlin,Eddie Murphy,73,33,56,18,5,39
Flirting with Disaster,Flirting with Disaster,7000000,14702438.0,7702438.0,1,0,1,92.0,Comedy,3,"Comedy,Romance",1996-03-22,David O. Russell,Ben Stiller,59,13,125,100,48,13
Jade,Jade,50000000,9851610.0,-40148390.0,0,0,1,95.0,Action,0,"Action,Thriller,Mystery,Romance",1995-10-13,William Friedkin,David Caruso,5,1,45,16,20,38
The Birdcage,The Birdcage,31000000,185260553.0,154260553.0,1,0,2,117.0,Comedy,3,Comedy,1996-03-08,Mike Nichols,Robin Williams,86,64,108,29,29,22
Bad Boys,Bad Boys,19000000,141407024.0,122407024.0,1,1,1,118.0,Action,0,"Action,Comedy,Crime,Thriller",1995-04-07,Michael Bay,Will Smith,125,62,78,11,8,57
An Awfully Big Adventure,An Awfully Big Adventure,4000000,851545.0,-3148455.0,0,0,1,113.0,Romance,14,"Romance,Drama,Comedy",1995-07-21,Mike Newell,Alan Rickman,37,19,69,12,14,79
Apollo 13,Apollo 13,52000000,355237933.0,303237933.0,1,0,1,140.0,Drama,6,Drama,1995-06-30,Ron Howard,Tom Hanks,152,84,88,75,39,43
Rob Roy,Rob Roy,28000000,31596911.0,3596911.0,1,0,1,139.0,Adventure,1,Adventure,1995-04-13,Michael Caton-Jones,Liam Neeson,40,23,128,5,3,18
Batman Forever,Batman Forever,100000000,336529144.0,236529144.0,1,1,1,121.0,Action,0,"Action,Crime,Fantasy",1995-06-16,Joel Schumacher,Val Kilmer,13,6,98,9,9,34
Blue in the Face,Blue in the Face,2000000,1275000.0,-725000.0,0,1,1,83.0,Comedy,3,Comedy,1995-09-15,Paul Auster,Harvey Keitel,19,26,154,4,4,4
Canadian Bacon,Canadian Bacon,11000000,178104.0,-10821896.0,0,0,1,91.0,Action,0,"Action,Comedy",1995-06-08,Michael Moore,John Candy,14,4,66,32,47,22
Casper,Casper,50000000,287928194.0,237928194.0,1,1,1,100.0,Fantasy,8,"Fantasy,Comedy,Family",1995-05-26,Brad Silberling,Christina Ricci,34,19,75,5,1,29
Clockers,Clockers,25000000,13071518.0,-11928482.0,0,0,1,128.0,Mystery,13,"Mystery,Crime,Drama",1995-09-15,Spike Lee,Harvey Keitel,19,26,154,78,53,82
Congo,Congo,50000000,152022101.0,102022101.0,1,0,2,109.0,Action,0,"Action,Adventure,Drama,Mystery,Science Fiction,Thriller",1995-06-09,Frank Marshall,Laura Linney,91,42,68,25,17,13
Crimson Tide,Crimson Tide,53000000,157387195.0,104387195.0,1,0,1,116.0,Action,0,"Action,Thriller,Drama",1995-05-12,Tony Scott,Denzel Washington,168,83,56,15,6,29
Desperado,Desperado,7000000,25405445.0,18405445.0,1,1,1,104.0,Thriller,17,"Thriller,Action,Crime",1995-08-25,Robert Rodriguez,Antonio Banderas,41,41,110,28,38,43
Devil in a Blue Dress,Devil in a Blue Dress,27000000,16140822.0,-10859178.0,0,0,1,102.0,Drama,6,"Drama,Mystery,Thriller",1995-09-15,Carl Franklin,Denzel Washington,168,83,56,11,11,32
Die Hard: With a Vengeance,Die Hard: With a Vengeance,90000000,366101666.0,276101666.0,1,1,3,128.0,Action,0,"Action,Thriller",1995-05-19,John McTiernan,Bruce Willis,38,22,119,5,6,11
First Knight,First Knight,55000000,127600435.0,72600435.0,1,0,2,134.0,Action,0,"Action,Adventure,Drama,Romance",1995-07-07,Jerry Zucker,Sean Connery,29,38,93,6,7,7
Hackers,Hackers,20000000,7563728.0,-12436272.0,0,0,4,107.0,Action,0,"Action,Crime,Thriller,Drama",1995-09-14,Iain Softley,Jonny Lee Miller,12,1,52,2,3,11
Johnny Mnemonic,Johnny Mnemonic,25000000,19075720.0,-5924280.0,0,0,2,97.0,Adventure,1,"Adventure,Action,Drama,Science Fiction,Thriller",1995-05-26,Robert Longo,Keanu Reeves,22,12,96,1,0,8
Judge Dredd,Judge Dredd,90000000,113493481.0,23493481.0,1,0,1,96.0,Science Fiction,15,Science Fiction,1995-06-30,Danny Cannon,Sylvester Stallone,65,59,83,7,4,25
Kids,Kids,1500000,7412216.0,5912216.0,1,0,1,91.0,Drama,6,"Drama,Crime",1995-07-28,Larry Clark,Leo Fitzpatrick,0,0,62,9,5,15
Living in Oblivion,Living in Oblivion,500000,1148752.0,648752.0,1,0,1,89.0,Drama,6,"Drama,Comedy",1995-01-20,Tom DiCillo,Steve Buscemi,65,29,159,8,15,17
Mallrats,Mallrats,6000000,2122561.0,-3877439.0,0,0,1,94.0,Romance,14,"Romance,Comedy",1995-10-20,Kevin Smith,Jason Lee,22,4,65,24,14,30
Mighty Morphin Power Rangers: The Movie,Mighty Morphin Power Rangers: The Movie,15000000,66000000.0,51000000.0,1,1,1,92.0,Action,0,"Action,Adventure,Science Fiction,Family,Fantasy",1995-06-30,Bryan Spicer,Amy Jo Johnson,4,6,46,1,0,68
Mute Witness,Mute Witness,2,1.0,-1.0,0,0,2,95.0,Thriller,17,"Thriller,Foreign",1995-09-28,Anthony Waller,Marina Zudina,1,2,29,1,4,6
The Net,The Net,22000000,110627965.0,88627965.0,1,1,2,114.0,Crime,4,"Crime,Drama,Mystery,Thriller,Action",1995-07-28,Irwin Winkler,Sandra Bullock,112,76,57,10,12,7
Party Girl,Party Girl,150000,472370.0,322370.0,1,0,1,94.0,Comedy,3,Comedy,1995-06-09,Daisy von Scherler Mayer,Parker Posey,13,4,100,3,0,41
The Prophecy,The Prophecy,8,16.0,8.0,1,1,1,98.0,Fantasy,8,"Fantasy,Horror,Thriller",1995-09-01,Gregory Widen,Christopher Walken,35,23,133,0,0,2
The Scarlet Letter,The Scarlet Letter,50000000,10382407.0,-39617593.0,0,0,1,135.0,Drama,6,"Drama,History,Romance",1995-10-13,Roland Joffé,Demi Moore,28,15,62,18,10,27
Showgirls,Showgirls,45000000,20350754.0,-24649246.0,0,1,1,128.0,Drama,6,Drama,1995-09-22,Paul Verhoeven,Elizabeth Berkley,6,3,63,38,42,29
Smoke,Smoke,7000000,8349430.0,1349430.0,1,1,1,112.0,Comedy,3,"Comedy,Drama",1995-06-09,Wayne Wang,Harvey Keitel,19,26,154,10,17,23
Species,Species,35000000,113374103.0,78374103.0,1,1,1,108.0,Science Fiction,15,"Science Fiction,Horror,Action",1995-07-07,Roger Donaldson,Natasha Henstridge,2,4,69,7,4,27
Strange Days,Strange Days,42000000,7959291.0,-34040709.0,0,0,1,145.0,Crime,4,"Crime,Drama,Science Fiction,Thriller",1995-10-13,Kathryn Bigelow,Ralph Fiennes,104,40,72,61,83,19
The Tie That Binds,The Tie That Binds,14000000,5780000.0,-8220000.0,0,0,1,99.0,Thriller,17,Thriller,1995-09-08,Wesley Strick,Daryl Hannah,11,6,92,4,1,3
Under Siege 2: Dark Territory,Under Siege 2: Dark Territory,60000000,104324083.0,44324083.0,1,1,1,100.0,Action,0,"Action,Thriller",1995-07-13,Geoff Murphy,Steven Seagal,11,1,57,1,2,24
A Walk in the Clouds,A Walk in the Clouds,20000000,50012507.0,30012507.0,1,0,1,103.0,Drama,6,"Drama,Romance",1995-08-11,Alfonso Aráu,Keanu Reeves,22,12,96,8,13,13
Waterworld,Waterworld,175000000,264218220.0,89218220.0,1,0,3,135.0,Adventure,1,"Adventure,Action",1995-07-28,Kevin Reynolds,Kevin Costner,59,54,61,5,3,12
Burnt by the Sun,Утомлённые солнцем,2800000,2616503.0,-183497.0,0,1,1,135.0,Drama,6,Drama,1994-05-01,Nikita Mikhalkov,Nikita Mikhalkov,32,35,48,32,35,27
Before Sunrise,Before Sunrise,2500000,5535405.0,3035405.0,1,1,3,105.0,Drama,6,"Drama,Romance",1995-01-27,Richard Linklater,Ethan Hawke,118,30,78,145,111,29
Billy Madison,Billy Madison,10000000,26488734.0,16488734.0,1,0,3,89.0,Comedy,3,Comedy,1995-02-10,Tamra Davis,Adam Sandler,77,54,74,3,1,60
Boys on the Side,Boys on the Side,21000000,23450000.0,2450000.0,1,0,1,115.0,Comedy,3,"Comedy,Drama",1995-02-03,Herbert Ross,Whoopi Goldberg,84,57,175,5,7,25
Clerks,Clerks,27000,3151130.0,3124130.0,1,1,1,92.0,Comedy,3,Comedy,1994-09-13,Kevin Smith,"""Brian OHalloran""",2,2,41,24,14,30
Don Juan DeMarco,Don Juan DeMarco,25000000,22200000.0,-2800000.0,0,0,1,97.0,Romance,14,"Romance,Drama,Comedy",1994-10-01,Jeremy Leven,Johnny Depp,143,79,91,0,0,2
Disclosure,Disclosure,55000000,214015089.0,159015089.0,1,0,1,123.0,Drama,6,"Drama,Thriller,Crime,Mystery,Romance",1994-12-09,Barry Levinson,Michael Douglas,42,50,60,46,29,40
Dumb and Dumber,Dumb and Dumber,16000000,247275374.0,231275374.0,1,1,1,107.0,Comedy,3,Comedy,1994-12-16,Peter Farrelly,Jim Carrey,96,48,62,4,19,20
Ed Wood,Ed Wood,18000000,5887457.0,-12112543.0,0,0,1,127.0,Comedy,3,"Comedy,Drama,History",1994-09-27,Tim Burton,Johnny Depp,143,79,91,72,23,38
Hideaway,Hideaway,15000000,12201255.0,-2798745.0,0,0,1,103.0,Drama,6,"Drama,Thriller",1995-03-03,Brett Leonard,Jeff Goldblum,25,12,123,2,1,23
Hoop Dreams,Hoop Dreams,700000,7830611.0,7130611.0,1,0,1,171.0,Documentary,5,Documentary,1994-09-12,Steve James,William Gates,0,0,1,43,35,26
Heavenly Creatures,Heavenly Creatures,5000000,3049135.0,-1950865.0,0,0,1,99.0,Drama,6,"Drama,Fantasy",1994-09-02,Peter Jackson,Melanie Lynskey,16,7,76,134,137,21
Houseguest,Houseguest,10500000,26325256.0,15825256.0,1,0,2,113.0,Comedy,3,"Comedy,Family",1995-01-06,Randall Miller,Sinbad,4,1,46,3,2,21
Interview with the Vampire,Interview with the Vampire,60000000,223664608.0,163664608.0,1,1,2,123.0,Horror,11,"Horror,Romance",1994-11-11,Neil Jordan,Brad Pitt,153,67,81,53,40,23
Jefferson in Paris,Jefferson in Paris,14000000,2474000.0,-11526000.0,0,0,1,139.0,Drama,6,"Drama,Romance",1995-03-31,James Ivory,Nick Nolte,37,14,102,52,50,35
Junior,Junior,60000000,37000000.0,-23000000.0,0,0,1,109.0,Comedy,3,"Comedy,Family,Romance",1994-11-22,Ivan Reitman,Arnold Schwarzenegger,37,25,71,12,8,22
Star Wars,Star Wars,11000000,775398007.0,764398007.0,1,1,1,121.0,Adventure,1,"Adventure,Action,Science Fiction",1977-05-25,George Lucas,Mark Hamill,20,21,328,38,64,18
Like Water for Chocolate,Como agua para chocolate,2000000,21665468.0,19665468.0,1,0,2,105.0,Drama,6,"Drama,Romance",1992-04-16,Alfonso Aráu,Marco Leonardi,2,1,63,8,13,13
Legends of the Fall,Legends of the Fall,30000000,160638883.0,130638883.0,1,0,2,133.0,Adventure,1,"Adventure,Drama,Romance,War",1994-12-16,Edward Zwick,Brad Pitt,153,67,81,22,23,25
Losing Isaiah,Losing Isaiah,17000000,7603766.0,-9396234.0,0,0,1,106.0,Drama,6,Drama,1995-03-17,Stephen Gyllenhaal,Jessica Lange,80,41,45,4,2,50
Mary Shelley's Frankenstein,Frankenstein,45000000,112006296.0,67006296.0,1,0,1,123.0,Drama,6,"Drama,Horror,Science Fiction,Romance",1994-11-04,Kenneth Branagh,Robert De Niro,99,55,116,63,36,22
Miami Rhapsody,Miami Rhapsody,6,5.0,-1.0,0,0,1,95.0,Comedy,3,"Comedy,Romance",1995-01-27,David Frankel,Sarah Jessica Parker,49,29,62,7,7,20
Nell,Nell,31000000,106683817.0,75683817.0,1,0,1,112.0,Drama,6,"Drama,Thriller",1994-12-23,Michael Apted,Jodie Foster,50,59,80,17,22,78
Natural Born Killers,Natural Born Killers,34000000,50282766.0,16282766.0,1,0,3,119.0,Crime,4,"Crime,Thriller,Drama",1994-08-25,Oliver Stone,Woody Harrelson,91,30,94,57,61,31
Outbreak,Outbreak,50000000,189859560.0,139859560.0,1,0,3,127.0,Action,0,"Action,Drama,Science Fiction,Thriller",1995-03-10,Wolfgang Petersen,Dustin Hoffman,53,63,84,8,12,30
Leon: The Professional,Léon,16000000,45284974.0,29284974.0,1,0,1,110.0,Thriller,17,"Thriller,Crime,Drama",1994-09-14,Luc Besson,Jean Reno,3,2,99,26,28,31
The Perez Family,The Perez Family,11000000,2832826.0,-8167174.0,0,0,1,113.0,Comedy,3,"Comedy,Drama,Romance",1995-05-12,Mira Nair,Marisa Tomei,53,25,79,24,31,25
Pulp Fiction,Pulp Fiction,8000000,213928762.0,205928762.0,1,0,3,154.0,Thriller,17,"Thriller,Crime",1994-09-10,Quentin Tarantino,John Travolta,58,54,77,179,139,21
Pushing Hands,Pushing Hands,400000,152322.0,-247678.0,0,0,2,105.0,Comedy,3,"Comedy,Drama",1992-02-01,Ang Lee,Sihung Lung,1,4,42,96,103,18
The Quick and the Dead,The Quick and the Dead,32000000,18552460.0,-13447540.0,0,0,1,107.0,Action,0,"Action,Western",1995-02-09,Sam Raimi,Sharon Stone,36,24,145,20,14,36
Roommates,Roommates,22000000,12400000.0,-9600000.0,0,0,1,108.0,Drama,6,"Drama,Comedy",1995-03-01,Peter Yates,Peter Falk,27,22,110,14,9,28
Prêt-à-Porter,Prêt-à-Porter,15000000,11300653.0,-3699347.0,0,0,5,133.0,Drama,6,"Drama,Comedy",1994-12-23,Robert Altman,Marcello Mastroianni,22,48,146,75,72,89
The Swan Princess,The Swan Princess,35000000,9771658.0,-25228342.0,0,1,1,89.0,Animation,2,Animation,1994-11-18,Richard Rich,Michelle Nicastro,1,1,34,0,0,31
The Specialist,The Specialist,45000000,170362582.0,125362582.0,1,0,1,110.0,Action,0,"Action,Thriller",1994-10-07,Luis Llosa,Sylvester Stallone,65,59,83,1,0,11
Stargate,Stargate,55000000,196567262.0,141567262.0,1,0,3,121.0,Action,0,"Action,Adventure,Science Fiction",1994-10-27,Roland Emmerich,Kurt Russell,13,7,99,16,16,25
The Santa Clause,The Santa Clause,22000000,189833357.0,167833357.0,1,1,1,97.0,Fantasy,8,"Fantasy,Drama,Comedy,Family",1994-11-10,John Pasquin,Tim Allen,35,23,50,4,3,44
The Shawshank Redemption,The Shawshank Redemption,25000000,28341469.0,3341469.0,1,0,1,142.0,Drama,6,"Drama,Crime",1994-09-23,Frank Darabont,Tim Robbins,40,37,73,28,16,11
Tank Girl,Tank Girl,25000000,4064495.0,-20935505.0,0,0,1,98.0,Action,0,"Action,Comedy,Fantasy,Science Fiction",1995-03-31,Rachel Talalay,Lori Petty,2,3,67,7,5,59
Star Trek: Generations,Star Trek: Generations,38000000,120000000.0,82000000.0,1,1,1,118.0,Science Fiction,15,"Science Fiction,Action,Adventure,Thriller",1994-11-17,David Carson,Patrick Stewart,51,19,153,2,0,48
Tales from the Hood,Tales from the Hood,6000000,12000000.0,6000000.0,1,0,1,98.0,Crime,4,"Crime,Horror,Thriller",1995-05-24,Rusty Cundieff,Clarence Williams III,5,0,108,2,1,25
What's Eating Gilbert Grape,What's Eating Gilbert Grape,11000000,10032765.0,-967235.0,0,0,1,118.0,Romance,14,"Romance,Drama",1993-12-17,Lasse Hallström,Johnny Depp,143,79,91,17,18,70
Virtuosity,Virtuosity,30000000,24048000.0,-5952000.0,0,0,1,106.0,Action,0,"Action,Crime,Science Fiction,Thriller",1995-08-04,Brett Leonard,Denzel Washington,168,83,56,2,1,23
While You Were Sleeping,While You Were Sleeping,17000000,182057016.0,165057016.0,1,0,1,103.0,Comedy,3,"Comedy,Drama,Romance",1995-04-21,Jon Turteltaub,Sandra Bullock,112,76,57,2,0,20
Muriel's Wedding,Muriel's Wedding,3000000,15119639.0,12119639.0,1,0,1,106.0,Drama,6,"Drama,Comedy,Romance",1994-09-29,P.J. Hogan,Toni Collette,55,29,78,5,4,12
Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,15000000,107217396.0,92217396.0,1,1,1,86.0,Comedy,3,"Comedy,Mystery",1994-02-04,Tom Shadyac,Jim Carrey,96,48,62,2,2,12
Bitter Moon,Bitter Moon,5000000,1862805.0,-3137195.0,0,0,2,139.0,Thriller,17,"Thriller,Drama,Romance",1992-09-02,Roman Polanski,Hugh Grant,32,20,66,76,86,39
Clear and Present Danger,Clear and Present Danger,62000000,215887717.0,153887717.0,1,1,1,141.0,Action,0,"Action,Drama,Thriller",1994-08-03,Phillip Noyce,Harrison Ford,40,41,80,10,24,60
The Client,The Client,45000000,117615211.0,72615211.0,1,0,1,119.0,Drama,6,"Drama,Thriller,Crime,Mystery",1994-07-20,Joel Schumacher,Susan Sarandon,82,55,153,9,9,34
The Crow,The Crow,15000000,94000000.0,79000000.0,1,1,1,102.0,Fantasy,8,"Fantasy,Action,Thriller",1994-05-11,Alex Proyas,Brandon Lee,2,1,10,7,6,26
The Flintstones,The Flintstones,46000000,341631208.0,295631208.0,1,1,1,91.0,Fantasy,8,"Fantasy,Comedy,Family",1994-05-26,Brian Levant,John Goodman,72,31,158,1,2,20
Forrest Gump,Forrest Gump,55000000,677945399.0,622945399.0,1,0,1,142.0,Comedy,3,"Comedy,Drama,Romance",1994-07-06,Robert Zemeckis,Tom Hanks,152,84,88,37,34,30
Four Weddings and a Funeral,Four Weddings and a Funeral,6000000,254700832.0,248700832.0,1,0,1,117.0,Comedy,3,"Comedy,Drama,Romance",1994-03-09,Mike Newell,Hugh Grant,32,20,66,12,14,79
I Love Trouble,I Love Trouble,45000000,61947267.0,16947267.0,1,0,2,123.0,Action,0,"Action,Comedy,Romance",1994-06-29,Charles Shyer,Nick Nolte,37,14,102,3,3,11
The Lion King,The Lion King,45000000,788241776.0,743241776.0,1,1,1,89.0,Family,7,"Family,Animation,Drama",1994-06-23,Roger Allers,Jonathan Taylor Thomas,11,5,37,8,2,5
Little Buddha,Little Buddha,35000000,4858139.0,-30141861.0,0,0,1,140.0,Drama,6,"Drama,History",1993-12-01,Bernardo Bertolucci,Keanu Reeves,22,12,96,34,49,25
New Nightmare,New Nightmare,14000000,18090181.0,4090181.0,1,1,1,112.0,Horror,11,"Horror,Thriller,Mystery,Fantasy",1994-10-13,Wes Craven,Heather Langenkamp,2,2,40,6,10,33
