id,director,actors
110972,['Bryan Gordon'],['Josh Charles']
32622,['Rebecca Miller'],['Miranda Rhyne']
73067,['Michael Lindsay-Hogg'],['Matt Dillon']
11863,['William Friedkin'],['David Caruso']
55475,['Ángel Muñiz'],['Luisito Marti']
124636,['Craig Baldwin'],['Lloyd Dunn']
9101,['David S. Ward'],['Kelsey Grammer']
123360,['Mark Rappaport'],['Jean Seberg']
5757,['Dirk Shafer'],['Dirk Shafer']
39428,['Terence Davies'],['Jacob Tierney']
124639,['Sandip Ray'],[]
9302,['Jon Avnet'],['Robert Redford']
11000,['Mike Nichols'],['Robin Williams']
249882,['Jakov Sedlar'],['Martin Sheen']
16388,['Edward Burns'],['Shari Albert']
9737,['Michael Bay'],['Will Smith']
30765,['Christopher Cain'],['Stephen Lang']
10474,['Scott Kalvert'],['Leonardo DiCaprio']
22279,['Mike Newell'],['Alan Rickman']
30157,['Hal Hartley'],['Isabelle Huppert']
568,['Ron Howard'],['Tom Hanks']
11780,['Michael Caton-Jones'],['Liam Neeson']
34996,['Abel Ferrara'],['Lili Taylor']
414,['Joel Schumacher'],['Val Kilmer']
649,['Luis Buñuel'],['Catherine Deneuve']
1873,['John Boorman'],['Patricia Arquette']
5894,"['Paul Auster', 'Wayne Wang']",['Harvey Keitel']
1775,['Michael Moore'],['John Candy']
8839,['Brad Silberling'],['Christina Ricci']
20649,['Spike Lee'],['Harvey Keitel']
10329,['Frank Marshall'],['Laura Linney']
8963,['Tony Scott'],['Denzel Washington']
26564,['Terry Zwigoff'],['Robert Crumb']
8068,['Robert Rodriguez'],['Antonio Banderas']
8512,['Carl Franklin'],['Denzel Washington']
1572,['John McTiernan'],['Bruce Willis']
13552,['Gregg Araki'],['Rose McGowan']
259209,['Christopher Menaul'],['Embeth Davidtz']
6520,['Jerry Zucker'],['Sean Connery']
9073,['Dwight H. Little'],['Jason James Richter']
10428,['Iain Softley'],['Jonny Lee Miller']
17447,['Christopher Ashley'],['Steven Weber']
9886,['Robert Longo'],['Keanu Reeves']
9482,['Danny Cannon'],['Sylvester Stallone']
19326,['John Fortenberry'],['Pauly Shore']
9344,['Larry Clark'],['Leo Fitzpatrick']
9071,['Tom DiCillo'],['Steve Buscemi']
8973,['Clive Barker'],['Scott Bakula']
15730,['Denys Arcand'],['Thomas Gibson']
47608,['Antonia Bird'],"[""Chris O'Donnell""]"
2293,['Kevin Smith'],['Jason Lee']
9070,['Bryan Spicer'],['Amy Jo Johnson']
68274,['David Anspaugh'],['Elizabeth Perkins']
48787,['Anthony Waller'],['Marina Zudina']
34574,['Michael Almereyda'],['Elina Löwensohn']
1642,['Irwin Winkler'],['Sandra Bullock']
11472,['Chris Columbus'],['Hugh Grant']
36196,['Daisy von Scherler Mayer'],['Parker Posey']
11980,['Gregory Widen'],['Christopher Walken']
58372,['Norman René'],['Mia Farrow']
32646,['Todd Haynes'],['Julianne Moore']
10533,['Roland Joffé'],['Demi Moore']
56088,[],['Kurtis Blow']
10802,['Paul Verhoeven'],['Elizabeth Berkley']
10149,"['Wayne Wang', 'Paul Auster']",['Harvey Keitel']
18402,['Lasse Hallström'],['Julia Roberts']
9348,['Roger Donaldson'],['Natasha Henstridge']
139408,['James Keach'],['Robert Duvall']
281,['Kathryn Bigelow'],['Ralph Fiennes']
5967,['Jacques Demy'],['Catherine Deneuve']
79593,['Wesley Strick'],['Daryl Hannah']
47939,['Martha Coolidge'],['Patrick Swayze']
36834,['Agnieszka Holland'],['Leonardo DiCaprio']
9090,['Beeban Kidron'],['Patrick Swayze']
3512,['Geoff Murphy'],['Steven Seagal']
52856,['Diane Keaton'],['Andie MacDowell']
77350,['Douglas Keeve'],['Sandra Bernhard']
9560,['Alfonso Aráu'],['Keanu Reeves']
9804,['Kevin Reynolds'],['Kevin Costner']
31611,['Desmond Nakano'],['John Travolta']
65796,['Walter Hill'],['Jeff Bridges']
49805,['Mike Figgis'],['Albert Finney']
26258,['Greg Beeman'],['Daniel Stern']
50797,['Nikita Mikhalkov'],['Nikita Mikhalkov']
19155,['Milčo Mančevski'],['Katrin Cartlidge']
76,['Richard Linklater'],['Ethan Hawke']
11017,['Tamra Davis'],['Adam Sandler']
37141,['Guy Ferland'],['Alicia Silverstone']
9382,['Herbert Ross'],['Whoopi Goldberg']
6715,['Peter Horton'],['Brad Renfro']
18256,['Stuart Gordon'],['Jeffrey Combs']
22625,"[""Pat O'Connor""]","[""Chris O'Donnell""]"
2292,['Kevin Smith'],"[""Brian O'Halloran""]"
1909,['Jeremy Leven'],['Johnny Depp']
8984,['Barry Levinson'],['Michael Douglas']
61813,['René Bonnière'],['Patsy Kensit']
4954,['John Badham'],['Wesley Snipes']
62488,['Jack Baran'],['Dylan McDermott']
10531,['Roman Polanski'],['Sigourney Weaver']
11929,['Taylor Hackford'],['Kathy Bates']
8467,"['Peter Farrelly', 'Bobby Farrelly']",['Jim Carrey']
10451,['Ang Lee'],['Sihung Lung']
20156,['Atom Egoyan'],['Bruce Greenwood']
18395,['Garry Marshall'],['Dana Delany']
522,['Tim Burton'],['Johnny Depp']
397,['Lawrence Kasdan'],['Meg Ryan']
10525,['Billy Crystal'],['Billy Crystal']
27985,['Phillip Borsos'],['Mimi Rogers']
15789,"['Kevin Lima', 'Paul Brizzi']",['Bill Farmer']
27303,['Brett Leonard'],['Jeff Goldblum']
21183,['Carlo Carlei'],['Samuel L. Jackson']
10954,['Gérard Corbiau'],['Stefano Dionisi']
47867,['Mark Lewis'],['Ted Manson']
43475,['Art Clokey'],[]
72031,['Charles Burnett'],['Ice Cube']
14275,['Steve James'],['William Gates']
1024,['Peter Jackson'],['Melanie Lynskey']
17207,['Randall Miller'],['Sinbad']
13701,['Bernard Rose'],['Gary Oldman']
14819,['Steven Brill'],['Ben Stiller']
32631,['J. F. Lawton'],['Christopher Lambert']
11777,['Fred Schepisi'],['Tim Robbins']
628,['Neil Jordan'],['Brad Pitt']
87729,['James Ivory'],['Nick Nolte']
18713,['James Melkonian'],['John G. Brennan']
6280,['Ivan Reitman'],['Arnold Schwarzenegger']
9061,['Arne Glimcher'],['Sean Connery']
37108,['Michael Gottlieb'],['Thomas Ian Nicholas']
6071,['Barbet Schroeder'],['David Caruso']
11,['George Lucas'],['Mark Hamill']
9587,['Gillian Armstrong'],['Winona Ryder']
19101,['Alfonso Cuarón'],['Liesel Matthews']
49980,['Ken Loach'],['Crissy Rock']
17961,['Claude Chabrol'],['Emmanuelle Béart']
18183,['Alfonso Aráu'],['Marco Leonardi']
4476,['Edward Zwick'],['Brad Pitt']
11008,['Nick Castle'],['Damon Wayans']
47504,['James Gray'],['Edward Furlong']
32325,['Allison Anders'],['Angel Aviles']
43742,['Glenn Gordon Caron'],['Warren Beatty']
28313,['Stephen Gyllenhaal'],['Jessica Lange']
11318,['Nicholas Hytner'],['Nigel Hawthorne']
3036,['Kenneth Branagh'],['Robert De Niro']
40490,['James Orr'],['Farrah Fawcett']
24070,['Nora Ephron'],['Steve Martin']
8986,['Richard Benjamin'],['Melanie Griffith']
10510,['Les Mayfield'],['Richard Attenborough']
17402,['David Frankel'],['Sarah Jessica Parker']
38722,['Gregory Nava'],['Edward James Olmos']
8438,['Marc Rocco'],['Christian Slater']
11593,['Robert Benton'],['Paul Newman']
1945,['Michael Apted'],['Jodie Foster']
39310,['Nick Gomez'],['Sharron Corley']
109560,['Tōru Murakawa'],['Toru Nakamura']
56428,['Vadim Jean'],['Elizabeth Hurley']
63105,['Albert Pyun'],['Sue Price']
131957,['Alan Jacobs'],['Laura San Giacomo']
241,['Oliver Stone'],['Woody Harrelson']
9058,['Norman Jewison'],['Marisa Tomei']
527,['Lee Tamahori'],['Rena Owen']
18220,['Anne Goursaud'],['Alyssa Milano']
6950,['Wolfgang Petersen'],['Dustin Hoffman']
101,['Luc Besson'],['Jean Reno']
63020,['Mira Nair'],['Marisa Tomei']
2307,['Joshua Brand'],['William Baldwin']
680,['Quentin Tarantino'],['John Travolta']
41478,['Mario Van Peebles'],['Kadeem Hardison']
25296,['Ang Lee'],['Sihung Lung']
40156,['Antonia Bird'],['Linus Roache']
11450,['Robert Redford'],['John Turturro']
30304,['Kayo Hatta'],['Youki Kudoh']
10452,['Patrice Chéreau'],['Isabelle Adjani']
12106,['Sam Raimi'],['Sharon Stone']
161495,['Peter Yates'],['Peter Falk']
3586,['Robert Altman'],['Marcello Mastroianni']
110,['Krzysztof Kieślowski'],['Irène Jacob']
108,['Krzysztof Kieślowski'],['Juliette Binoche']
109,['Krzysztof Kieślowski'],['Zbigniew Zamachowski']
159185,['He Ping'],['Ning Jing']
36357,['Fred Gerber'],['Leslie Nielsen']
92769,['George Mihalka'],['Darlanne Fluegel']
28033,['Harold Ramis'],['Al Franken']
22586,['Richard Rich'],['Michelle Nicastro']
14334,['John Sayles'],['Jeni Courtney']
2636,['Luis Llosa'],['Sylvester Stallone']
2164,['Roland Emmerich'],['Kurt Russell']
11395,['John Pasquin'],['Tim Allen']
278,['Frank Darabont'],['Tim Robbins']
9905,['Danny Boyle'],['Kerry Fox']
87078,"['Scott McGehee', 'David Siegel']",['Dennis Haysbert']
12527,"['Tomás Gutiérrez Alea', 'Juan Carlos Tabío']",['Jorge Perugorría']
20306,['George Huang'],['Kevin Spacey']
36614,"['Kevin Dowling', 'Geoff Burton']",['Jack Thompson']
27993,['Kelly Makin'],['Matt Frewer']
31439,['Zhang Yimou'],['Ge You']
9067,['Rachel Talalay'],['Lori Petty']
9059,['Ernest R. Dickerson'],['Billy Zane']
193,['David Carson'],['Patrick Stewart']
25066,['Rusty Cundieff'],['Clarence Williams III']
46797,['Brian Gilbert'],['Willem Dafoe']
12122,['John Carpenter'],['Christopher Reeve']
11381,['Peter Segal'],['Chris Farley']
32636,['Louis Malle'],['Wallace Shawn']
36141,['Steven Soderbergh'],['Peter Gallagher']
95963,['Preston A. Whitmore II'],['Allen Payne']
1587,['Lasse Hallström'],['Johnny Depp']
9271,['Brett Leonard'],['Denzel Washington']
2064,['Jon Turteltaub'],['Sandra Bullock']
19855,['Jon Avnet'],['Elijah Wood']
60855,['Mina Shum'],['Sandra Oh']
236,['P.J. Hogan'],['Toni Collette']
48287,['Melanie Mayron'],['Schuyler Fisk']
3049,['Tom Shadyac'],['Jim Carrey']
2759,['Stephan Elliott'],['Terence Stamp']
12635,['Iain Softley'],['Stephen Dorff']
10497,['Roman Polanski'],['Hugh Grant']
11382,['Woody Allen'],['John Cusack']
9331,['Phillip Noyce'],['Harrison Ford']
10731,['Joel Schumacher'],['Susan Sarandon']
10464,['Jessie Nelson'],['Whoopi Goldberg']
34152,['Spike Lee'],['Alfre Woodard']
9495,['Alex Proyas'],['Brandon Lee']
29973,['Ron Shelton'],['Tommy Lee Jones']
888,['Brian Levant'],['John Goodman']
13,['Robert Zemeckis'],['Tom Hanks']
712,['Mike Newell'],['Hugh Grant']
16295,['John Singleton'],['Omar Epps']
48992,['Darnell Martin'],['Lauren Vélez']
10879,['Charles Shyer'],['Nick Nolte']
10660,['Andrew Bergman'],['Nicolas Cage']
10714,['Stephen Sommers'],['Jason Scott Lee']
41647,['Ray Müller'],['Leni Riefenstahl']
8587,"['Roger Allers', 'Rob Minkoff']",['Jonathan Taylor Thomas']
1689,['Bernardo Bertolucci'],['Keanu Reeves']
11596,['Wes Craven'],['Heather Langenkamp']
854,['Chuck Russell'],['Jim Carrey']
9359,['Richard Donner'],['Mel Gibson']
23333,['Alan Rudolph'],['Jennifer Jason Leigh']
36593,['Peter Segal'],['Leslie Nielsen']
12280,['Ron Howard'],['Michael Keaton']
2788,['Ben Stiller'],['Winona Ryder']
10427,['John Dahl'],['Nicolas Cage']
11011,['Donald Petrie'],['Macaulay Culkin']
49803,['Robert Allan Ackerman'],['Susan Sarandon']
8987,['Curtis Hanson'],['Meryl Streep']
1637,['Jan de Bont'],['Keanu Reeves']
15128,['Ron Underwood'],['Michael Keaton']
8831,['Peter Hyams'],['Jean-Claude Van Damme']
36955,['James Cameron'],['Arnold Schwarzenegger']
10449,['Luis Mandoki'],['Andy García']
10395,['Mike Nichols'],['Jack Nicholson']
12160,['Lawrence Kasdan'],['Kevin Costner']
40480,['Damian Harris'],['Laurence Fishburne']
52038,['Suri Krishnamma'],['Albert Finney']
29444,['Jefery Levy'],['Stephen Dorff']
26352,['Keenen Ivory Wayans'],['Keenen Ivory Wayans']
39953,"['Robert Lee King', 'Brian Sloan', ""Raoul O'Connell""]",['James Andrews']
41580,['Yves Angelo'],['Gérard Depardieu']
315,['Russ Meyer'],['Tura Satana']
22067,['Doug McHenry'],['Allen Payne']
18242,['Dave Borthwick'],['Nick Upton']
11667,['Steven E. de Souza'],['Jean-Claude Van Damme']
32502,['Wallace Wolodarsky'],['Michael J. Fox']
267188,['Michael A. Nickles'],['Michael A. Nickles']
28732,['Paul Warner'],['Steve Alden']
75555,['Vincent Robert'],['Eddie Bowz']
42981,['Theodore Thomas'],[]
278939,['Lucas Platt'],['Эрика Элениак']
291731,['Ross Kagan Marks'],['Blythe Danner']
226229,['Paul Williams'],['Edward James Olmos']
203119,['Robert Wuhl'],['Robert Wuhl']
172923,['Roberto Sneider'],['Damián Alcázar']
316098,"['Jack Baxter', 'Jefri Aalmuhammed']",['Roscoe Lee Browne']
8011,['Andrew Morahan'],['Christopher Lambert']
171857,['Michael Corrente'],['Nicholas Turturro']
2654,['John Carpenter'],['Sam Neill']
18069,['John G. Avildsen'],['Luke Perry']
19092,['Jeff Pollack'],['Duane Martin']
2758,['Barry Sonnenfeld'],['Raúl Juliá']
38129,['Thomas Schlamme'],['Martin Lawrence']
10436,['Martin Scorsese'],['Daniel Day-Lewis']
13595,['Michael Lehmann'],['Brendan Fraser']
46094,['Paul Michael Glaser'],['Kevin Bacon']
9409,['John Badham'],['Richard Dreyfuss']
11853,['Jonathan Kaplan'],['Madeleine Stowe']
16771,['Whit Stillman'],['Taylor Nichols']
46924,['Bill Forsyth'],['Robin Williams']
11041,['Penelope Spheeris'],['Jim Varney']
306,['John Landis'],['Eddie Murphy']
14522,['Caroline Thompson'],['Alan Cumming']
26203,['Michael Apted'],['Madeleine Stowe']
178,['Stephen Hopkins'],['Jeff Bridges']
19819,['William Friedkin'],['Nick Nolte']
57834,['Tony Richardson'],['Jessica Lange']
4722,['Abel Ferrara'],['Gabrielle Anwar']
18215,['Jennifer Chambers Lynch'],['Julian Sands']
1607,['Robert De Niro'],['Robert De Niro']
26391,['Adam Resnick'],['Chris Elliott']
117553,['John Whitesell'],['Jason Priestley']
6075,['Brian De Palma'],['Al Pacino']
11310,['Paul Weiland'],['Billy Crystal']
18658,['Mick Jackson'],['Dana Carvey']
9350,['Renny Harlin'],['Sylvester Stallone']
9612,['Steve Barron'],['Robert Knott']
2124,['Richard Rush'],['Bruce Willis']
26261,['Michael Ritchie'],['Chevy Chase']
19176,['Gregg Champion'],['Woody Harrelson']
49299,['Abel Ferrara'],['Harvey Keitel']
11566,['Ivan Reitman'],['Kevin Kline']
9571,['Richard Linklater'],['Jason London']
9739,['Marco Brambilla'],['Sylvester Stallone']
24257,['Bruce Brown'],[]
34444,['Gus Van Sant'],['Uma Thurman']
26141,['Carl Reiner'],['Armand Assante']
10997,['Chen Kaige'],['Leslie Cheung']
50463,['Donald Petrie'],['Harley Jane Kozak']
10443,['Peter Weir'],['Jeff Bridges']
20239,['Rusty Cundieff'],['Larry B. Scott']
16297,['Alek Keshishian'],['Joe Pesci']
18551,['Steve Kloves'],['Meg Ryan']
25440,['John Irvin'],['Mia Farrow']
9024,['Barry Sonnenfeld'],['Michael J. Fox']
37233,['Sydney Pollack'],['Tom Cruise']
1634,['Simon Wincer'],['Jason James Richter']
13815,['Boaz Yakin'],['Sean Nelson']
5503,['Andrew Davis'],['Harrison Ford']
35588,['Walter Hill'],['Jason Patric']
2087,['Roger Donaldson'],['Alec Baldwin']
41579,['Howard Deutch'],['Macaulay Culkin']
18620,['Rose Troche'],['Guinevere Turner']
41006,['Bruce Beresford'],['Colin Friels']
4916,['Sidney Lumet'],['Rebecca De Mornay']
2019,['John Woo'],['Jean-Claude Van Damme']
31642,['Oliver Stone'],['Tommy Lee Jones']
9255,['Jim Abrahams'],['Charlie Sheen']
26271,['Julianna Lavin'],['Dana Delany']
10612,['Christopher Monger'],['Hugh Grant']
2259,['Bille August'],['Meryl Streep']
16097,['Eric Meza'],['Bernie Mac']
11934,['Joel Coen'],['Tim Robbins']
106143,['James L. Brooks'],['Nick Nolte']
12475,"['Daniel Petrie, Jr.']",['Pauly Shore']
9386,['Wolfgang Petersen'],['Clint Eastwood']
7984,['Jim Sheridan'],['Daniel Day-Lewis']
59930,['Matty Rich'],['Larenz Tate']
15765,['Brian Gibson'],['Angela Bassett']
31643,['Barry Levinson'],['Joe Pesci']
6,['Stephen Hopkins'],['Emilio Estevez']
329,['Steven Spielberg'],['Sam Neill']
10909,['Dominic Sena'],['Brad Pitt']
507,['Roger Avary'],['Eric Stoltz']
34024,['Steven Soderbergh'],['Jesse Bradford']
29918,['Daniel Petrie'],['Tom Guiry']
9593,['John McTiernan'],['Arnold Schwarzenegger']
42580,['James Lapine'],['Michael J. Fox']
22317,"['Simon Wincer', 'Paul Hogan', 'Greg Coote']",['Paul Hogan']
1413,['David Cronenberg'],['Jeremy Irons']
12121,['Richard Benjamin'],['Whoopi Goldberg']
2246,['Harold Becker'],['Alec Baldwin']
10502,['Mel Gibson'],['Mel Gibson']
10440,['Woody Allen'],['Woody Allen']
9516,"['Albert Hughes', 'Allen Hughes']",['Tyrin Turner']
2320,['Stuart Baird'],['Kurt Russell']
5879,['Nagisa Ōshima'],['Eiko Matsuda']
83718,['Tom Noonan'],['Karen Sillas']
11971,['Kenneth Branagh'],['Kenneth Branagh']
2625,['Mike Figgis'],['Richard Gere']
31911,['Anthony Minghella'],['Matt Dillon']
788,['Chris Columbus'],['Robin Williams']
21450,['Mike Leigh'],['David Thewlis']
11231,['Christopher Cain'],['Pat Morita']
41588,['Michael Tolkin'],['Peter Weller']
10447,['Martin Campbell'],['Ray Liotta']
31586,['Rob Reiner'],['Elijah Wood']
9300,['Sally Potter'],['Tilda Swinton']
9559,['Clint Eastwood'],['Kevin Costner']
9800,['Jonathan Demme'],['Tom Hanks']
713,['Jane Campion'],['Holly Hunter']
8291,['John Singleton'],['Janet Jackson']
18133,['David S. Ward'],['James Caan']
25557,['Stuart Orme'],['Donald Sutherland']
22588,['Mel Smith'],['Brian Benben']
10872,['Ted Demme'],['Denis Leary']
1245,['James Ivory'],['Anthony Hopkins']
11858,['Penny Marshall'],['Danny DeVito']
7007,['Philip Kaufman'],['Sean Connery']
10467,['Alan Parker'],['Anthony Hopkins']
5550,['Fred Dekker'],['Robert John Burke']
8005,['Mel Brooks'],['Cary Elwes']
2088,['Peter Medak'],['Gary Oldman']
10412,['Geoffrey Wright'],['Russell Crowe']
47889,['Victor Nunez'],['Ashley Judd']
14534,['David Anspaugh'],['Sean Astin']
56583,['Tim Hunter'],['Danny Glover']
41878,['Cyril Collard'],['Cyril Collard']
424,['Steven Spielberg'],['Liam Neeson']
35233,['Michael Ritchie'],['Brendan Fraser']
14291,['Steven Zaillian'],['Max Pomeranc']
103413,['Chris Menges'],['William Hurt']
11236,['Agnieszka Holland'],['Kate Maberly']
11592,['John Waters'],['Kathleen Turner']
8850,['Russell Mulcahy'],['Alec Baldwin']
10445,['Richard Attenborough'],['Anthony Hopkins']
695,['Robert Altman'],['Julianne Moore']
43535,['Gillies MacKinnon'],['Steve Martin']
12519,['John Duigan'],['Hugh Grant']
23210,['Fred Schepisi'],['Will Smith']
858,['Nora Ephron'],['Tom Hanks']
867,['Phillip Noyce'],['Sharon Stone']
78,['Ridley Scott'],['Harrison Ford']
13203,['Steve Rash'],['Pauly Shore']
10442,['Thomas Schlamme'],['Mike Myers']
11074,['Rowdy Herrington'],['Bruce Willis']
33367,['Arthur Joffé'],['Nastassja Kinski']
9607,"['Annabel Jankel', 'Rocky Morton']",['Bob Hoskins']
17585,['Ernest R. Dickerson'],['Ice-T']
9057,['Deran Sarafian'],['Charlie Sheen']
20967,['François Girard'],['Colm Feore']
10635,['Andrew Fleming'],['Josh Charles']
9479,['Henry Selick'],['Danny Elfman']
10057,['Stephen Herek'],['Charlie Sheen']
11969,['George P. Cosmatos'],['Kurt Russell']
41590,['Heywood Gould'],['William Hurt']
319,['Tony Scott'],['Christian Slater']
26408,"['D.A. Pennebaker', 'Chris Hegedus']",['James Carville']
15139,"['Joe Johnston', 'Pixote Hunt', 'Maurice Hunt']",['Macaulay Culkin']
161158,['Jerry Ciccoritti'],['Leslie Hope']
218473,['Jennifer Warren'],['Martha Plimpton']
85247,['Mark Malone'],['Anthony LaPaglia']
11446,['Todd Solondz'],['Heather Matarazzo']
51980,['Claude Berri'],['Miou-Miou']
24405,['Dennis Hopper'],['Tom Berenger']
11655,['Guillermo del Toro'],['Federico Luppi']
11800,['Daniel Algrant'],['Eric Stoltz']
8223,['Pedro Almodóvar'],['Verónica Forqué']
14587,['Gurinder Chadha'],['Kim Vithana']
31504,['Andrew Scheinman'],['Luke Edwards']
41653,['Åke Sandgren'],['Stellan Skarsgård']
53185,['Richard Loncraine'],['Julie Walters']
95743,['Eva Sereny'],['Robin Givens']
23637,['Lina Wertmüller'],['Paolo Villaggio']
17600,['David O. Russell'],['Jeremy Davies']
10897,['Penelope Spheeris'],['Bug Hall']
349394,['Rémy Duchemin'],['Jean Yanne']
21352,['George T. Miller'],['Tina Majorino']
68806,['Ricky Tognazzi'],['Claudio Amendola']
